Plot,Title,Year
"After the terrifying events in LA, John McClane (Willis) is about to go through it all again. A team of terrorists, led by Col. Stuart (Sadler) is holding the entire airport hostage. The terrorists are planning to rescue a drug lord from justice. In order to do so, they have seized control of all electrical equipment affecting all planes. With no runway lights available, all aircraft have to remain in the air, with fuel running low, McClane will need to be fast.",Die Hard 2,1990
"A dashing officer of the guard and romantic poet, Cyrano de Bergerac is in love with his cousin Roxane without her knowing. His one curse in his life, he feels, is his large nose and although it may have been a forming influence in his rapier-sharp wit, he believes that Roxane will reject him. He resorts to writing letters to her on behalf of one of his cadets, Christian, who is also in love with Roxane but just doesn't know how to tell her. She falls for the poetic charm of the letters but believes that they were written by Christian.",Cyrano de Bergerac,1990
"Andy Barclay has been placed in a foster home after the tragic events of the first film, since his mother was committed. In an attempt to save their reputation, the manufacturers of Chucky reconstruct the killer doll, to prove to the public that nothing was wrong with it in the first place. In doing so, they also bring the soul of serial killer Charles Lee Ray back to life. As Chucky tries to locate Andy, the body count rises. Will Andy be able to escape, or will Chucky succeed in possessing his body?",Child's Play 2,1990
"Stranded in 1955, Marty McFly receives written word from his friend, Doctor Emmett Brown, as to where can be found the DeLorean time machine. However, an unfortunate discovery prompts Marty to go to his friend's aid. Using the time machine, Marty travels to the old west where his friend has run afoul of a gang of thugs and has fallen in love with a local schoolteacher. Using the technology from the time, Marty and Emmett devise one last chance to send the two of them back to the future.",Back to the Future Part III,1990
"Five people spend the night in an abandoned house, the Amityville haunted house, and soon find themselves terrorized by assorted ghosts, venomous insects and ghostly apparitions.",The Amityville Curse,1990
"Harry and Sally meet when she gives him a ride to New York after they both graduate from the University of Chicago. The film jumps through their lives as they both search for love, but fail, bumping into each other time and time again. Finally a close friendship blooms between them, and they both like having a friend of the opposite sex. But then they are confronted with the problem: ""Can a man and a woman be friends, without sex getting in the way?""",When Harry Met Sally...,1989
A couple of escaped convicts on the run find refuge with the Church when they are mistaken for two priests. The two are keen to flee but are unable to do so without the help of Molly.,We're No Angels,1989
"When the newly-christened starship Enterprise's shakedown cruise goes poorly, Captain Kirk and crew put her into Spacedock for repairs. But an urgent mission interrupts their Earth-bound shore leave. A renegade Vulcan named Sybok has taken three ambassadors hostage on Nimbus III, the Planet of Galactic Peace. This event also attracts the attention of a Klingon captain who wants to make a name for himself and sets out to pursue the Enterprise. Sybok's ragtag army captures the Enterprise and takes her on a journey to the center of the galaxy in search of the Supreme Being.",Star Trek V: The Final Frontier,1989
High school senior Lloyd Dobler wants nothing more than to go out with beautiful and intelligent Diane Court. Lloyd attempts to win her heart over the objections of her over-protective father before Diane leaves for a scholarship in England.,Say Anything...,1989
"A documentary about the closure of General Motors' plant at Flint, Michigan, which resulted in the loss of 30,000 jobs. Details the attempts of filmmaker Michael Moore to get an interview with GM CEO Roger Smith.",Roger & Me,1989
"Mary Lou, the prom queen burned to death by her boyfriend back in the fifties, has escaped from hell and is once again walking the hallways of Hamilton High School, looking for blood. She chooses as her escort in world of the living Alex, an average depressed student with dreams of one day becoming a doctor. As Mary Lou begins to get back into form, the body count starts climbing and the graduating class of Hamilton High is once again smaller than expected.",Prom Night III: The Last Kiss,1989
"Jessica, the daughter of an impoverished farmer, still believes in Santa Claus. So when she comes across a reindeer with an injured leg, it makes perfect sense to her to assume that it is Prancer, who had fallen from a Christmas display in town. She hides him in her barn and feeds him cookies, until she can return him to Santa. Her father finds him and decides to sell him to the butcher, not for venison chops, but as an advertising display.",Prancer,1989
"A string of business robberies have taken place in the city's Wilson Heights neighborhood, all done by the same three crooks. Captain Thaddeus Harris is no longer in the same precinct with a certain group of cops that he doesn't like. That's why Harris is so happy to be in the Wilson Heights precinct. But then The Mayor tells Harris that business in the city is plummeting because of the robberies. Since there appears to be a leak in Harris's precinct, the Governor has sent in a team to stop the Wilson Heights gang. Much to Harris's dismay, the team is led by Commandant Eric Lassard, so Harris knows who the team members are -- exactly the cops that he doesn't like. The team members are Nick Lassard, Moses Hightower, Eugene Tackleberry, Larvell Jones, Debbie Callahan, Laverne Hooks, and Douglas Fackler. The stakes are raised when Commandant Lassard is accused of being the mastermind behind the robberies, and the team must clear his name.",Police Academy 6: City Under Siege,1989
"Alice, having survived the previous installment of the Nightmare series, finds the deadly dreams of Freddy Krueger starting once again. This time, the taunting murderer is striking through the sleeping mind of Alice's unborn child. His intention is to be ""born again"" into the real world. The only one who can stop Freddy is his dead mother, but can Alice free her spirit in time to save her own son?",A Nightmare on Elm Street 5: The Dream Child,1989
"It's Christmas time and the Griswolds are preparing for a family seasonal celebration, but things never run smoothly for Clark, his wife Ellen and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going knowing that his Christmas bonus is due soon.",National Lampoon's Christmas Vacation,1989
"In Disney's beguiling animated romp, rebellious 16-year-old mermaid Ariel is fascinated with life on land. On one of her visits to the surface, which are forbidden by her controlling father, King Triton, she falls for a human prince. Determined to be with her new love, Ariel makes a dangerous deal with the sea witch Ursula to become human for three days. But when plans go awry for the star-crossed lovers, the king must make the ultimate sacrifice for his daughter.",The Little Mermaid,1989
"Riggs and Murtaugh are trying to take down some drug dealers but the they turn out to be not run of the mill drug dealers; they have automatic weapons and helicopters. Eventually they grab one of their vehicles and find a million dollars worth of gold coins or Krugerrands in the trunk. Later Murtaugh is threatened by the men they're pursuing. That's when the Captain reassigns them to protect a man named Leo Getz who is suppose to testify in a big case. When they get to where Leo is, someone tries to kill him and that's when they learn he laundered half a billion dollars worth of drug money. He then takes them to a place he once went to and that's when the people there start shooting at them. Later when they come back with back up they learn that the men work for the South African consulate and have diplomatic immunity. They deduce that they are the ones they were looking for, but because of they have diplomatic immunity they can't do anything.",Lethal Weapon 2,1989
"John Kreese, his life in tatters after his karate school was defeated by Daniel and Miyagi, visits Terry Silver, a Vietnam War comrade. Terry is a ruthless businessman and martial arts expert, and he vows to help Kreese gain revenge on Daniel and Miyagi, and reestablish Cobra Kai. Upon returning from Okinawa, Daniel and Miyagi discover that their apartment building has been demolished, which brings Miyagi out of work. Going against Miyagi's wishes, Daniel uses his college funds to realize Miyagi's dream of opening a bonsai tree shop, and becomes a partner in the bonsai business.",The Karate Kid Part III,1989
"An art collector appeals to Jones to embark on a search for the Holy Grail. He learns that another archaeologist has disappeared while searching for the precious goblet, and the missing man is his own father, Dr. Henry Jones. The artifact is much harder to find than they expected, and its powers are too much for those impure in heart.",Indiana Jones and the Last Crusade,1989
"Wayne Szalinski is your average ""nutty scientist"", working on a top secret machine that shrinks objects. When it unexpectedly starts working, he's so amazed he forgets to tell his family to be careful. And when they wander into his lab...","Honey, I Shrunk the Kids",1989
"A regular girl, Veronica, tries to survive the social jungle of high school by sticking with the three most popular girls at school who are all called Heather. As she meets a sociopath named JD, her life spirals into a continuous cycle of hate, unintentional murder and indifference, as she exacts revenge on her enemies, also known as her best friends.",Heathers,1988
"It's one year later after the events of Halloween 4. Michael survives the shootings and on October 31st he returns with a vengeance. Lurking and stalking, Jamie, Rachel, and Rachel's friends, Michael forms a plan to lure Jamie out of the children's hospital where events lead up to the confrontation at the Myers house. Halloween 5 is a dark, thrill ride that will scare the heck out of you!",Halloween 5,1989
"Xixo is back again. This time, his children accidentally stow away on a fast-moving poachers' truck, unable to get off, and Xixo sets out to rescue them. Along the way, he encounters a couple of soldiers trying to capture each other and a pilot and passenger of a small plane, who are each having a few problems of their own.",The Gods Must Be Crazy II,1989
"The graduating class of the local high school is going on a luxury cruise with Jason Voorhees as a stowaway. The heroine Rennie Wickham believes she was almost drowned by Jason as a child. Jason eventually sinks the boat and kills many of the students on it, but many of them escape to Manhattan. A long battle with Jason ensues until Jason is washed away in the New York sewers by a midnight flooding of toxic waste.",Friday the 13th Part VIII: Jason Takes Manhattan,1989
"Seth Brundle was a renowned scientist whose warped experiments with teleportation transformed him into a man/fly hybrid called BrundleFly. A few months after the BrundleFly insect met its demise by his lover's, Veronica, shotgun, she dies while giving birth to their son, Martin. Seth's corrupt employer, Bartok, adopts Martin, only so Martin can solve the new problems that the still-functioning TelePods present and to use him as a science project because of the dormant insect genes. Martin is now fully grown, even though he is five, and the fly genes begin to awaken and make him just like dear, dead dad. With the help of his girlfriend, Beth, they go to wherever they can find a possible cure before Bartok finds them and brings them back, but not before Martin finishes his transformation into MartinFly, the deadliest of the BrundleFly species.",The Fly II,1989
"Fletch is a reporter for a Los Angeles newspaper, but he acts more like a detective. When an obscure relative leaves him a Louisiana mansion in his will, Fletch is naturally curious. Arriving in Louisiana, events occur that make him suspect that all is not well, and there is more to the property than he has been led to believe.",Fletch Lives,1989
"Iowa farmer Ray Kinsella hears a voice in his corn field tell him, ""If you build it, he will come."" He interprets this message as an instruction to build a baseball field on his farm, upon which appear the ghosts of Shoeless Joe Jackson and the other seven Chicago White Sox players banned from the game for throwing the 1919 World Series. When the voices continue, Ray seeks out a reclusive author to help him understand the meaning of the messages and the purpose for his field.",Field of Dreams,1989
"An elderly Jewish widow living in Atlanta can no longer drive. Her son insists she allow him to hire a driver, which in the 1950s meant a black man. She resists any change in her life but, Hoke, the driver is hired by her son. She refuses to allow him to drive her anywhere at first, but Hoke slowly wins her over with his native good graces. The movie is directly taken from a stage play and does show it. It covers over twenty years of the pair's life together as they slowly build a relationship that transcends their differences.",Driving Miss Daisy,1989
"Painfully shy Todd Anderson has been sent to the school where his popular older brother was valedictorian. His roommate, Neil Perry, although exceedingly bright and popular, is very much under the thumb of his overbearing father. The two, along with their other friends, meet Professor Keating, their new English teacher, who tells them of the Dead Poets Society, and encourages them to go against the status quo. Each does so in his own way, and is changed for life.",Dead Poets Society,1989
"An American boy and girl, spending six months in Kenya with their scientist parents adopt a cheetah, only to realize that they must set it loose so that it can learn to hunt and be free. However, when the animal is captured by poachers planning to race it against greyhounds, the two city kids, together with a young African goat herder they befriended, head off into the wild to rescue the cheetah.",Cheetah,1989
"Marty McFly has only just gotten back from the past, when he is once again picked up by Dr. Emmett Brown and sent through time to the future. Marty's job in the future is to pose as his own son to prevent him from being thrown in prison. Unfortunately, things get worse when the future changes the present.",Back to the Future Part II,1989
"When a casino owning dog named Charlie is murdered by his rival Carface, he finds himself in Heaven basically by default since all dogs go to heaven. However, since he wants to get back at his killer, he cons his way back to the living with the warning that doing that damns him to Hell. Once back, he teams with his old partner, Itchy to prep his retaliation. He also stumbles on to an orphan girl who can talk to the animals, thus allowing him to get the inside info on the races to ensure his wins to finance his plans. However, all the while, he is still haunted by nightmares on what's waiting for him on the other side unless he can prove that he is worthy of Heaven again.",All Dogs Go to Heaven,1989
"In a Surburban Town, in a Less Gothic-like house lives the Klopeks, although they are strange neighbors, A man named Ray Peterson (who lives next door on right with Klopeks), and his buddies are figuring what are up too? But one day an Elderg Neighbor named Walter Selznick was gone, they thought the Klopeks killed him, Although Wlater just got back from the Hospital presumably Heart assues, during Ray was in ambulance, a figure crept in the ambulance, the figure was Dr. Werner Klopeks, he tells Ray that The Klopeks wanted to sell the Knapps's House, but they refused, then They killed them and Eat them (which Means Cannibalisim like eating the same species), but the Klopeks ended up getting arrested.",The 'Burbs,1989
"1878 in New Mexico: John Tunstall picks up young gun men from the road to have them work on his ranch, but also to teach them reading and to civilize them. However he's a thorn in the side of the rich rancher Murphy, as he's a competitor in selling cattle. One day he's shot by Murphy's men. Judge Wilson can't do anything, since Sheriff Brady is one of Murphy's men. But attorney Alex persuades him to constitute Tunstall's young friends to Deputies and give them warrants of arrest for the murderers. Instead of arresting them, William Bonney just shoots them down. Soon the 5 guys become famous and William gets the name ""Billie the Kid"" - but they're also chased by dozens of Murphy's men and the army. The people however honor him as fighter for justice.",Young Guns,1988
"Tess McGill is a frustrated secretary, struggling to forge ahead in the world of big business in New York. She gets her chance when her boss breaks her leg on a skiing holiday. McGill takes advantage of her absence to push ahead with her career. She teams up with investment broker Jack Trainer to work on a big deal. The situation is complicated after the return of her boss.",Working Girl,1988
"A baby girl is discovered in a river by Ranon and Mims, the children of Willow Ufgood, a dwarf farmer and magician and the baby girl is taken into the care of Willow's family. But when a terrifying dog-like creature attacks Willow's village, whilst tracking down the baby. Willow consults the village council and the wizard The High Aldwin. The High Aldwin gives Willow a task and Willow leaves the village and embarks on the task to give the baby girl to a responsible person. But Willow soon learns the baby is Elora Danan, the baby girl destined to bring about the downfall of the evil sorceress Queen Bavmorda. Joined by his allies: swordsman Madmartigan, sorceress Fin Raziel and the Brownies Franjean and Rool, Willow takes it upon himself to protect Elora from Queen Bavmorda, who intends to kill Elora and prevent Elora from fulfilling her destiny. And Willow and his allies are pursued by Queen Bavmorda's daughter Sorsha and the evil commander of Queen Bavmorda's army General Kael, whom are searching for Elora and bring her back to Queen Bavmorda's castle, where Queen Bavmorda bids to kill Elora in a ritual and prevent the prophecy of her downfall.",Willow,1988
"Tomas is a doctor and a lady-killer in 1960s Czechoslovakia, an apolitical man who is struck with love for the bookish country girl Tereza; his more sophisticated sometime lover Sabina eventually accepts their relationship and the two women form an electric friendship. The three are caught up in the events of the Prague Spring (1968), until the Soviet tanks crush the non-violent rebels; their illusions are shattered and their lives change forever.",The Unbearable Lightness of Being,1988
A British art expert travels across America in order to purchase a rare Renoir painting in the South but comes across some crazy characters in the process.,Stars and Bars,1988
"In Haiti, the sea and the life-form die; in the Middle East, a town is frozen. These are signs of the Apocalypse and the Vatican is investigating, but Father Lucci advises that these omens are hoax or technologically explained. In California, the housewife Abby Quinn is pregnant and the delivery is scheduled to February, 29 in a leap year. Her husband, the lawyer Russell Quinn, is defending a weird case of the teenager Jimmy Szaragosa that killed his parents telling that he was following the Word of God. Meanwhile Abby rents a garage apartment to the mysterious David Bannon. The hopeless Abby has strange nightmares and soon she finds that around the world there are signs of the Apocalypse in accordance with the Book of Revelation. She learns also that David Bannon is Jesus that has returned; Father Lucci is the Pilate's porter Cartaphilus that was doomed to wander on Earth for the eternity; and she is a woman that tried to help Jesus. Further, she is the Seventh Sign and the Apocalypse will happen when her baby is stillborn. What can she do to save her unborn son and mankind?",The Seventh Sign,1988
"John Rambo's former Vietnam superior, Colonel Samuel Trautman, has been assigned to lead a mission to help the Mujahedeen rebels who are fighting the Soviet invasion of Afghanistan, but the Buddhist Rambo turns down Trautman's request that Rambo help out. When the mission goes belly up and Trautman is kidnapped and tortured by Russian Colonel Zaysen, Rambo launches a rescue effort and allies himself with the Mujahedeen rebels and gets their help in trying to rescue Trautman from Zaysen.",Rambo III,1988
"Charles Sanford ""Charlie"" Babbit is a self-centered Los Angeles-based automobile dealer/hustler/bookie who is at war with his own life. Charlie, as a young teenager, used his father's 1949 Buick convertible without permission and as a result, he went to jail for two days on account that his father reported it stolen. It is then that Charlie learns that his estranged father died and left him from his last will and testament a huge bed of roses and the car while the remainder will of $3 Million goes into a trust fund to be distributed to someone. Charlie seemed pretty angry by this and decides to look into this matter. It seems as if that ""someone"" is Raymond, Charlie's unknown brother, an autistic savant who lives in a world of his own, resides at the Walbrook Institute. Charlie then kidnaps Raymond and decides to take him on a lust for life trip to the west coast as a threat to get the $3 Million inheritance. Raymond's acts and nagging, including repeated talks of ""Abbott & Costello"", ""Four minutes till Wapner"" and refusal to fly on an airline except Quantas drives Charlie insane... and out of his selfish world into a cross-country trek of pure love and understanding that these two both have.",Rain Man,1988
"Carol Anne has been sent to live with her Aunt and Uncle in an effort to hide her from the clutches of the ghostly Reverend Kane, but he tracks her down and terrorises her in her relatives' appartment in a tall glass building. Will he finally achieve his target and capture Carol Anne again, or will Tangina be able, yet again, to thwart him?",Poltergeist III,1988
"The old Commandant Lassard, leader of the Police Academy (1984), goes to Florida to receive an award. In the city arrives also the cynic Captain Harris who wants to take Lassard's job. Harris wants to place himself in a favourable light in front of the high military hierarchy but, at the airport, Lassard exchanges his bag with another one...",Police Academy 5: Assignment: Miami Beach,1988
"Angela deMarco is unhappily married to high Mafia member Frank deMarco. When Frank is killed, Angela takes the opportunity to break free of the Mafia world entirely and start a new life. But Frank's boss, Tony Russo, begins to court the unresponsive Angela. The FBI begins surveillance on her, thinking her to be his new mistress. FBI agent Mike Downey goes undercover as Angela's neighbor, but soon finds himself attracted to Angela himself.",Married to the Mob,1988
"The carpenter, Jesus of Nazareth, tormented by the temptations of demons, the guilt of making crosses for the Romans, pity for men and the world, and the constant call of God, sets out to find what God wills for Him. But as His mission nears fulfillment, He must face the greatest temptation; the normal life of a good man. Based, not on the Gospels, but on Nikos Kazantzakis' novel of the same name.",The Last Temptation of Christ,1988
"It's October 30, 1988 and Michael Myers has been in a coma since his pursuit of Laurie Strode, 10 years ago, was finally stopped (events of H1 and H2). However when he is transfered from Richmond Mental Institute to Smith's Grove he awakes when he hears that he has a niece in Haddonfield and after killing the transfer crew he escapes. In Haddonfield, the niece, Jamie, has been adopted by the Carruthers family but keeps having nightmares about Michael (but she doesn't know who he is). On Halloween night, Jamie goes out trick and treating, little knowing that her murdering Uncle is following her and her step-sister Rachel. Rushing to her aid is Dr. Loomis and with the help of Sheriff Meeker starts to search the town for Michael and to find Jamie to protect her. But can anything stop Michael this time?",Halloween 4: The Return of Michael Myers,1988
"Lying dormant at the bottom of Camp Crystal Lake, Jason Voorhees is released from his watery grave by a telekinetic girl. And so the killing begins again. Can she use her powers to stop Jason, or is he back for good?",Friday the 13th Part VII: The New Blood,1988
"In 18th century France, the Marquise de Merteuil and the Vicomte de Valmont play a dangerous game of seduction. Valmont is someone who measures success by the number of his conquests and Merteuil challenges him to seduce the soon to be married Cecile de Volanges and provide proof in writing of his success. His reward for doing so will be to spend the night with Merteuil. He has little difficulty seducing Cecile but what he really wants is to seduce Madame de Tourvel. When Merteuil learns that he has actually fallen in love with her, she refuses to let him claim his reward for seducing Cecile. Death soon follows.",Dangerous Liaisons,1988
"Art, Ben and Joe are back! So are their wives and good friend Bernie in their first adventure since their last! Five years since the senior citizens blasted off into space with the Antareans return to earth because their alien friends have to collect the rest of the cocoons in the ocean, believed to be in danger from an earthquake. Ben and Mary visit their family, while Art and Joe visit Bernie, who's still hangin' on. Art, Ben and Joe had forgotten what it was like on earth and immediately begin to feel their weaknesses, except for Art's wife who's pregnant! Meanwhile in the ocean, a biologist company snatched a cocoon out of the ocean and are doing research on it...",Cocoon: The Return,1988
"When Charles Lee Ray needs to get quick escape from cop Mike Norris, he takes his soul and buries it into playful, seemingly good guy doll Chucky. Little does he know a little boy by the name of Andy Barclay will be the new owner of him soon-to-come. Charles confides in Andy while he commits numerous murders. Once the adults accept Andy's story as truth, it's too late.",Child's Play,1988
"Adam and Barbara are a normal couple...who happen to be dead. They have given their precious time to decorate their house and make it their own, but unfortunately a family is moving in, and not quietly. Adam and Barbara try to scare them out, but end up becoming the main attraction to the money making family. They call upon Beetlejuice to help, but Beetlejuice has more in mind than just helping.",Beetlejuice,1988
"Kaneda is a bike gang leader whose close friend Tetsuo gets involved in a government secret project known as Akira. On his way to save Tetsuo, Kaneda runs into a group of anti-government activists, greedy politicians, irresponsible scientists and a powerful military leader. The confrontation sparks off Tetsuo's supernatural power leading to bloody death, a coup attempt and the final battle in Tokyo Olympiad where Akira's secrets were buried 30 years ago.",Akira,1988
"1920's prohibition Chicago is corrupt from the judges downward. So in going up against Al Capone, Treasury agent Eliot Ness picks just two cops to help him and his accountant colleague. One is a sharp-shooting rookie, the other a seen-it-all beat man. The four of them are ready to battle Capone and his empire, but it could just be that guns are not the best way to get him.",The Untouchables,1987
"One step short of larceny, the aluminum siding salesmen in this movie sell their wares, compete with each other, and engage in a lot of great dialog. Tin Men focuses on the rivalry between BB Babowsky and Ernest Tilley. At the same time, the end of small world of which they are kings looms near as a government probe investigates their industry.",Tin Men,1987
"When the son of a gun-wielding woman is murdered by neo-Nazi surf punks in the post-apocalyptic future, his Mama hunts them down for some bloodthirsty revenge.",Surf Nazis Must Die,1987
"A young tomboy, Watts, finds her feelings for her best friend, Keith, run deeper than just friendship when he gets a date with the most popular girl in school. Unfortunately, the girl's old boyfriend, who is from the rich section of town, is unable to let go of her, and plans to get back at Keith.",Some Kind of Wonderful,1987
"Recidivist hold-up man H.I. McDonnough and police woman Edwina marry, only to discover they are unable to conceive a child. Desperate for a baby, the pair decide to kidnap one of the quintuplets of furniture tycoon Nathan Arizona. The McDonnoughs try to keep their crime secret, while friends, co-workers and a feral bounty hunter look to use Nathan Jr. for their own purposes.",Raising Arizona,1987
"A new batch of recruits arrives at Police Academy, this time a group of civilian volunteers who have joined Commandant Lassard's new Citizens on Patrol program. Although the community relations project has strong governmental support, a disgusted Captain Harris is determined to see it fail.",Police Academy 4: Citizens on Patrol,1987
"Picking up where the original Nightmare left off, Nancy has grown up and become a psychiatrist specializing in dream therapy. She meets a group of children at a local hospital facing Freddy Krueger, the same demon she once encountered in her sleep. One of them is Kristen, who has the power to draw other people into her dreams. Working with a male doctor assigned to the case, Nancy helps the kids realize their special abilities within the nightmare world. When Freddy captures one of her charges, she leads a rescue attempt into Krueger's domain, in hopes of putting his spirit to rest once and for all.",A Nightmare on Elm Street 3: Dream Warriors,1987
"Martin Riggs is an L.A. cop with suicidal tendencies and Roger Murtaugh is the unlucky police officer with whom Riggs is assigned. Together they uncover a huge drug-smuggling operation, and as their success rate grows so does their friendship.",Lethal Weapon,1987
"This sweeping account of the life of Pu-Yi, the last emperor of China, follows the leader's tumultuous reign. After being captured by the Red Army as a war criminal in 1950, Pu-Yi recalls his childhood from prison. He remembers his lavish youth in the Forbidden City, where he was afforded every luxury but unfortunately sheltered from the outside world and complex political situation surrounding him. As revolution sweeps through China, the world Pu-Yi knew is dramatically upended.",The Last Emperor,1987
The new owner of a sinister house gets involved with reanimated corpses and demons searching for an ancient Aztec skull with magic powers.,House II: The Second Story,1987
"When Hamilton High's Prom Queen of 1957, Mary Lou Maloney is killed by her jilted boyfriend, she comes back for revenge 30 years later. Bill Nordham is now the principal of Hamilton High and his son is about to attend the prom with Vicki Carpenter. However, she is possessed by Mary Lou Maloney after opening a trunk in the school's basement. Now Bill must face the horror he left behind in 1957.",Prom Night II,1987
"Two young boys accidentally release a horde of nasty, pint-sized demons from a hole in a suburban backyard. What follows is a classic battle between good and evil as the two kids struggle to overcome a nightmarish hell that literally begins to take over the Earth.",The Gate,1987
Seven disgusting kids but nevertheless of interesting personality are being made of the green mud coming out of garbage can. Once alive their master gives them rules to obey although they think that life is funnier without following stupid regulations like no television or no candy. Naturally this will cause some conflicts.,The Garbage Pail Kids Movie,1987
Ashley Williams travels to a secluded cabin in the woods with his girlfriend Linda where they find a tape recording of a professor and a book of evil. This unleashes a bunch of evil spirits that constantly terrorize Ash. Meanwhile a journalist comes to the area to study the book of evil. Ash and her end up having to survive this swarm of evil until morning comes.,Evil Dead II,1987
"Basket-case network news producer Jane Craig falls for new reporter Tom Grunnick, a pretty boy who represents the trend towards entertainment news she despises. Aaron Altman, a talented but plain correspondent, carries an unrequited torch for Jane. Sparks fly between the three as the network prepares for big changes, and both the news and Jane must decide between style and substance.",Broadcast News,1987
"After the death of his wife, police psychiatrist Cal Jamison moves to New York. There he has to help in the investigation of the murder of two youths, who seem to have been immolated during a cult ritual. Jamison believes it's been Voodoo and, ignoring the warnings of his housekeeper, enters the scenery and soon gets under their influence. They try to get him to sacrifice his own son.",The Believers,1987
"Derek and his friends must investigate the missing people in a small village. Then they find out its human formed aliens that are really big headed monsters that used all the people in the small village into their snack burgers. Now, Derek must save the day and the world with his chainsaw before the meat eaters strikes the whole planet. Will Derek kill all the aliens?",Bad Taste,1987
"Molly, Val and Gina are graduating college, but on their final night, frustrations are aired. Molly is still looking for real love and Val is beginning to doubt if that is what she's found. Gina is too busy videotaping everything to really notice. When the final party at Pacifica College kicks off, things don't go exactly as planned.",The Allnighter,1987
"Chris Parker agrees to babysit after her ""dream"" date stands her up. Expecting a dull evening, Chris settles down with three kids for a night of TV... and boredom. But when her frantic friend Brenda calls and pleads to be rescued from the bus station in downtown Chicago, the evening soon explodes into an endless whirl of hair-raising adventures! Babysitter and kids leave their safe suburban surroundings and head for the heart of the big city, never imagining how terrifyingly funny their expedition will become!",Adventures in Babysitting,1987
"Mick and Sue continue where they left off in ""'Crocodile' Dundee"". New York City drug lords are pursuing Sue for having solid evidence against them for murder, so for her safety, Mick takes her back to Australia. When the gangsters follow them, Mick demonstrates his outback skills once more.",Crocodile Dundee II,1988
"Unable to find work after a past felony, graduate John Wisdom and his girlfriend (Moore) embark on a cross-country bank-robbing spree in order to aid American farmers (Just call him Robin Hood).",Wisdom,1987
"Young love may endure in your heart and one day re-ignite, but reality may soon dowse the flames.",Violets Are Blue...,1986
