Title,Year,Plot
The Waterdance,1992,"A film about struggling to deal with paralysis. Author Joel Garcia breaks his neck while hiking, and finds himself in a rehabilitation centre with Raymond, an exaggerating ladies' man, and Bloss, a racist biker. Considerable tension builds as each character tries to deal with his new found handicap and the problems that go with it, especially Joel, whose lover Anna is having as difficult a time as he is. As Raymond reveals a dream about dancing on the surface of a lake to stay afloat, it becomes apparent that each of them must find his own Waterdance to survive his tragedy."
Unlawful Entry,1992,"After a break-in at their house, a couple gets help from one of the cops that answered their call. He helps them install the security system, and begins dropping by on short notice and unofficial patrol, and spends a lot of time discussing the couple's problems with the wife. The husband begins wondering if they're getting too much help."
Shadows and Fog,1991,"A small and insignificant bookkeeper, Kleinman, is awoken one night by his neighbors who wants his help to track down a strangler who has been killing people all over town. The citizens form vigilance committees, but when Kleinman has dressed, his neighbors have disappeared. Meanwhile a circus has come to town. Irmy and Paul are two of the artists. After a fight, Irmy leaves the circus in the middle of the night. Eventually she meets Kleinman, scared and alone."
Prelude to a Kiss,1992,"A couple fall in love despite the girl's pessimistic outlook. As they struggle to come to terms with their relationship, something supernatural happens that tests it."
Motorama,1991,"A ten year old boy gets tired of life with abusive parents and cashes in his piggy bank and steals a Mustang. He rides off into a surreal America playing ""Motorama,"" a game sponsored by Chimera Gas Company. He has various encounters with different people, and eventually reaches the Chimera Gas Company where he finds they are not playing by the rules of the game."
Love Field,1992,"Dallas housewife Lurene Hallett's life revolves around the doings of Jacqueline Kennedy. She is devastated when President Kennedy is shot a few hours after she sees him arrive at Love Field. Despite her husband Ray's prohibition, she decides to attend the funeral in Washington D.C. Forced to travel by bus, she befriends Jonell, the young black daughter of Paul Couter. Sensing something wrong, her good intentioned interference leads the mixed race threesome on an increasingly difficult journey to Washington with both the police and Ray looking for them."
Hellraiser III: Hell on Earth,1992,"Pinhead is stuck in a block after the Big Confrontation in ""Hellbound,"" The block containing Pinhead and the puzzle cube is bought by a young playboy as sculpture. Pinhead busies himself escaping by getting the playboy to lure victims to his presence so he can use their blood. Once free, he seeks to destroy the puzzle cube so he need never return to Hell, but a female reporter is investigating the grisly murders and stands in his way."
Freejack,1992,"Auto racer Alex Furlong is snatched by time travel, a split second before a fatal explosion, by Vasendak's 21st-century team of techies, who plan to sell his healthy body to an ailing rich man at McCandless Corporation, for a mind transfer. He escapes, but has no rights in this nightmare future of violence and sleaze. The story concerns his survival, and his attempt to revive his relationship with his fiancée Julie, now 15 years older and an executive at McCandless."
FernGully: The Last Rainforest,1992,"The fairies live in a peaceful place in the forest called Fern Gully which has been protected for many years by Magi, a wise fairy with strong powers. Her grand-daughter Crysta is a charming, beautiful fairy that is very intrigued about the world outside of Fern Gully. She along with the other fairies in the forest do not believe humans exist and are only in stories, until a crazy bat by the name of Batty, comes and tells them all these crazy stories about how he was captured by humans and experimented on. At first no one believes him except Crysta and she is determined to find out if humans are real. She goes to a place called Mount Warning, where the evil shadow of destruction Hexxus is known to be trapped, and finds a human named Zak. When he is almost crushed by a tree Crysta accidently shrinks him to fairy-size and he falls on a tree that is about to be devoured by ""The Leveller"". ""The Leveller"" is a wood cutting machine that has been cutting down every tree the humans have been putting red Xs on. Crysta saves Zak from ""The Leveller"" which she thinks is just a monster but she cannot properly un-shrink him. To avoid her being mad at him Zak tells her that the red Xs keep the monster back instead of what they are really there for, which is to pick which trees to cut down. They decide to take Zak to Magi so she can un-shrink him, on the way Zak sees the forest really for the first time with all its beauty and life. Back toward Mount Warning the humans have accidently released Hexxus who is set on destroying Fern Gully, he uses ""The Leveller"" to cut down all the trees to Fern Gully. When Crysta, Zak and Batty make it back to Fern Gully the fairies cannot believe the Zak is really a human and they all excited to see him and learn about him. The only one who is truly worried is Magi, she goes to check on the path to Fern Gully and sees that it is beginning destroyed and Hexxus is coming this way. She shows Crysta the red Xs and tells her the trees cannot be saved. With Hexxus drawing closer and closer to Fern Gully, Magi calls for all the fairies to come around to tells them of the danger. She uses the last of her magic to try and protect Fern Gully."
3 Ninjas,1992,"Each year, three brothers, Samuel, Jeffrey and Michael Douglas visit their grandfather, Mori Tanaka, for the summer. Mori is highly skilled in ninjutsu, and for years he has trained the boys in his techniques. After an organized crime ring proves to be too much for the F.B.I., it's time for the three ninja brothers! Using their martial artistry, they team up to battle the crime ring and outwit some very persistent kidnappers!"
What About Bob?,1991,"Doctor Leo Marvin, an egotistical psychotherapist in New York City, is looking forward to his forthcoming appearance on a ""Good Morning America"" telecast, during which he plans to brag about ""Baby Steps,"" his new book about emotional disorder theories in which he details his philosophy of treating patients and their phobias. Meanwhile, Bob Wiley is a recluse who is so afraid to leave his own apartment that he has to talk himself out the door. When Bob is pawned off on Leo by a psychotherapist colleague, Bob becomes attached to Leo. Leo finds Bob extremely annoying. When Leo accompanies his wife Fay, his daughter Anna, and his son Siggy to a peaceful New Hampshire lakeside cottage for a month-long vacation, Leo thinks he's been freed from Bob. Leo expects to mesmerize his family with his prowess as a brilliant husband and remarkable father who knows all there is to know about instructing his wife and raising his kids. But Bob isn't going to let Leo enjoy a quiet summer by the lake. By cleverly tricking the telephone operator at the doctor's exchange, Bob discovers the whereabouts of Leo and his family. Despite his phobia about traveling alone, Bob somehow manages to talk himself onto a bus, and he arrives in New Hampshire. Leo's vacation comes to a screeching halt the moment he sees Bob. With his witty personality, his ability to manipulate people, and his good sense of humor, Bob quickly becomes an annoyance to Leo, but not to Fay, Anna, and Siggy, because they think Bob is fun while Leo is dull. Fearing that he's losing his family to Bob, Leo frantically tries to find a way to make Bob go back to New York, and it's not as easy as Leo had hoped. Leo finds himself stepping outside the law to try to get Bob to stay away from Fay, Anna, and Siggy--Leo slowly goes berserk, and makes plans to kill Bob."
Truly Madly Deeply,1990,"Once upon a time there were two people in love, their names were Nina and Jamie. They were even happy enough to be able to live happily ever after, (not often the case) and then Jamie died. Nina is left with a house full of rats and handymen, a job teaching foreigners English and an ache that fills the night sky."
Point Break,1991,"In the coastal town of Los Angeles, a gang of bank robbers call themselves the ex-presidents. commit their crimes while wearing masks of ex-presidents Reagan, Carter, Nixon and Johnson. The F.B.I. believes that the members of the gang could be surfers and send young agent Johnny Utah undercover at the beach to mix with the surfers and gather information. Utah meets surfer Bodhi and gets drawn into the lifestyle of his new friend."
Not Without My Daughter,1991,"""Moody"" is an Iranian doctor living in America with his American wife Betty and their child Mahtob. Wanting to see his homeland again, he convinces his wife to take a short holiday there with him and Mahtob. Betty is reluctant, as Iran is not a pleasant place, especially if you are American and female. Upon arrival in Iran, it appears that her worst fears are realized: Moody declares that they will be living there from now on. Betty is determined to escape from Iran, but taking her daughter with her presents a larger problem."
The Man in the Moon,1991,"Rural Louisiana, summer of 1957, Elvis is King. At 14, Dani is coming of age. Her older sister is beautiful, smart, and off to Duke in the fall; her mom's pregnant with number four (Dad wants a son), and Dad's pretty strict. Life gets sweeter when 17-year-old Court Foster, his widowed mom, and two little brothers move into the vacant farm next door. Court likes Dani's high spirits and direct way, and though he has a man's responsibilities on the farm, they go off swimming sometimes. The waters of adolescence are deeper than Dani realizes as hers and Court's feelings get jumbled. Then Mother Nature throws wrenching surprises at Dani, and she must come to terms with new emotions."
Love Potion No. 9,1992,Two scientists who are hopeless with the opposite sex experiment with a substance that makes them irresistible to anyone who hears them speak.
Little Man Tate,1991,"Dede is a sole parent trying to bring up her son Fred. When it is discovered that Fred is a genius, she is determined to ensure that Fred has all the opportunities that he needs, and that he is not taken advantage of by people who forget that his extremely powerful intellect is harboured in the body and emotions of a child."
House Party 2,1991,"When Kid's college money is stolen by a crooked music promoter, Play's solution is to stage the 'mutha' of all pajama parties. Starring Kid 'n Play and Martin Lawrence."
Harley Davidson and the Marlboro Man,1991,"The tough biker Harley and his no less tough cowboy friend Marlboro learn that an old friend of theirs will lose his bar, because a bank wants to build a new complex there and demands 2.5 million dollars for a new contract in advance. Harley and Marlboro decide to help him by robbing the corrupt bank. They rob the Bank transport and get hold of an amount of a new synthetic drug. Now they are targeted by criminal bankers."
For the Boys,1991,"With the help of the singer and dancer Dixie Leonhard US-Entertainer Eddie Sparks wants to bring some fun to the soldiers during World War II. Becoming a perfect team they tour from North Africa to the Pacific to act for ""the boys"". Later they continue their work but when the author Silver gets involved into McCarthy's campaign and is being fired by Eddie, Dixie turns away from him, too."
F/X2,1991,"F/X man Rollie Tyler (Bryan Brown) is now a toy maker. Mike Brandon (Tom Mason), the ex-husband of Rolly's girlfriend Kim(Rachel Ticotin), is a cop. He asks Rollie to help catch a killer. The operation goes well until some unknown man kills both the killer and Mike.Mike's boss, Ray Silak (Philip Bosco) says it was the killer who killed Mike but Rollie knows it wasn't. Silak is involved with Mike's death, so he calls on Leo McCarthy (Brian Dennehy), the cop from the last movie, who is now a P.I., for help and they discover it's not just Silak they have to worry about."
Double Impact,1991,"Jean Claude Van Damme plays a dual role as Alex and Chad, twins separated at the death of their parents. Chad is raised by a family retainer in Paris, Alex becomes a petty crook in Hong Kong. Seeing a picture of Alex, Chad rejoins him and convinces him that his rival in Hong Kong is also the man who killed their parents. Alex is suspicious of Chad, especially when it comes to his girlfriend."
Don't Tell Mom the Babysitter's Dead,1991,Single mother goes away for the summer. The kids are first delighted but then find that Mom has hired the sitter from hell to stay with them. When the sitter dies of a sudden coronary they deposit the body at a mortuary only to discover all their summer expense money was in her purse. The kids must find a way to survive the summer without mom or her money. This means actual work!
City Slickers,1991,"Mitch is a middle aged big-city radio ads salesman. He and his friends Ed and Phil are having mid-life crisis. They decide the best birthday gift is to go on a two week holiday in the wild west driving cattle from New Mexico to Colorado. There they meet cowboy Curly who not only teaches them how to become real cowboys, but also one or two other things about life in the open air of the west."
Black Robe,1991,In the 17th century a Jesuit priest and a young companion are escorted through the wilderness of Quebec by Algonquin Indians to find a distant mission in the dead of winter. The Jesuit experiences a spiritual journey while his young companion falls in love with the Algonquin chief's beautiful daughter underneath the imposing and magnificent mountains. Dread and death follows them upriver.
Bill & Ted's Bogus Journey,1991,"The world of our distant future is a veritable utopia, thanks to the lyrics of two simple-minded 20th Century rock and rollers, Bill S. Preston, Esq. and Ted ""Theodore"" Logan. However, a would-be conquerer threatens to throw history off-track by sending ""most non-non-heinous"" evil robot Bill and Teds back to kill their good counterparts. Finding themselves dead, the boys must outwit the Grim Reaper and traverse Heaven and Hell to return to the land of the living, rescue their ""babes"" and have a ""most triumphant"" concert at the all-important Battle of the Bands."
The Unbelievable Truth,1989,"After serving time for murder, Josh Hutton returns to his home town where me meets Audry Hugo. No one can remember exactly what Josh did, but they are all wary of him, especially Audry's father."
Sorority House Massacre II,1990,"Five college women buy the old Hokstedter place for their new sorority house. They got it cheap because of the bloody incidents from five years before. They decide to stay in it for the night so they can meet the movers in the morning, but begin to get the creeps when the weird neighbor Orville Ketchum starts poking around. Shortly after the women take showers and consult a Ouija board they begin experiencing an attrition problem."
Slumber Party Massacre III,1990,"After a hard day of volleyball at the beach, a teen whose parents are away decides to have a slumber party with her girlfriends. Their boyfriends predictably show up to scare them, but a stranger from the beach is also seen lurking around the house. Soon the group begins experiencing an attrition problem."
The Russia House,1990,"Three notebooks supposedly containing Russian military secrets are handed to a British publisher during a Russian book conference. The British secret service are naturally keen to learn if these notebooks are the genuine article. To this end, they enlist the help of the scruffy British publisher Barley Blair, who has plenty of experience with Russia and Russians. Barley, an unconventional character who doesn't respond well to authority, finds himself in a game more complex than he first thought when he digs into the origin of the notebooks."
Reversal of Fortune,1990,"Alan Dershowitz a brilliant professor of law is hired by wealthy socialite Claus von Bulow to attempt to overturn his two convictions for attempted murder of his extremely wealthy wife. Based on a true story the film concentrates not on the trial like other legal thrillers, but on the preparatory work that Dershowitz and his students put in as they attempt to disprove the prosecution's case and achieve the Reversal of Fortune of the title."
Postcards from the Edge,1990,"Substance-addicted Hollywood actress Suzanne Vale is on the skids. After a spell at a detox center her film company insists, as a condition of continuing to employ her, that she live with her mother Doris Mann, herself once a star and now a champion drinker. Such a set-up is bad news for Suzanne who has struggled for years to get out of her mother's shadow, and who finds her mother still treats her like a child. Despite these problems - and further ones involving the men in in her life - Suzanne can begin to see the funny side of her situation, and it also starts to occur to her that not only do daughters have mothers, mothers do too."
Mermaids,1990,"After yet another failed relationship, Mrs. Flax (Cher) ups her family to the east coast to start all over again. Reluctantly dragged along with her is her daughter Charlotte - going through a very confusing time of her life - who wants to become a nun, and instead falls in love with a quiet, mild-mannered church employee, to the mixed response of her mother. Set at around the time of the Kennedy Assassination."
