Title,Year,Genres,Plot
The Sacrament,2013,"Horror, Thriller","The journalist Patrick works at the VICE, a company dedicated to cover bizarre news. When his sister Caroline joins a community, she travels abroad with her new family. Out of the blue, Caroline invites her brother to visit her in an undefined country and Patrick travels by helicopter with his friends Jake and Sam that work with him at VICE. They find weird that the men that have come to guide them to the Eden Parish have guns. On the arrival to the camp, Patrick, Sam and Jake find a community of happy people that worship Father. They interview Father but soon they realize that people are not as happy as they seem to be. Further, they find that they are trapped in the Parish Eden and they want to leave the place with the newcomers. But the Father does not have intention to let them go."
Life Itself,2014,"Documentary, Biography","'Life Itself' recounts the surprising and entertaining life of world-renowned film critic and social commentator Roger Ebert - a story that's by turns personal, wistful, funny, painful, and transcendent. The film explores the impact and legacy of Roger Ebert's life: from his Pulitzer Prize-winning film criticism and his nearly quarter-century run with Gene Siskel on their review show, to becoming one of the country's most influential cultural voices, and finally to Roger's inspiring battles with cancer and the resulting physical disability - how he literally and symbolically put a new face on the disease and continued to be a cultural force despite it."
Nymphomaniac: Vol. II,2013,Drama,"Joe continues to tell to Seligman the story of her life. Joe lives with Jerôme and their son Marcel and out of the blue, she loses sexual sensation in intercourse. Joe seeks kinky sex, perversions and sadomasochism expecting to retrieve her sex drive. Jerôme leaves home with Marcel and gives his son to a foster house for adoption. Then Joe is sent to therapy by her gynecologist but she does not admit that she is addicted to sex. Meanwhile Seligman tells Joe that he is virgin and helps her to understand her actions. Joe believes that Seligman is her friend, but is he?"
Focus,2015,"Comedy, Crime, Drama","Nicky Spurgeon is an extremely accomplished con man who takes an amateur con artist, Jess, under his wing. Nicky and Jess become romantically involved, and with Nicky's profession of being a liar and a cheater for a living, he realizes that deception and love are things that don't go together. They split, only to see each other three years later... And things get messy."
Mission: Impossible - Rogue Nation,2015,"Action, Adventure, Thriller","CIA chief Hunley (Baldwin) convinces a Senate committee to disband the IMF (Impossible Mission Force), of which Ethan Hunt (Cruise) is a key member. Hunley argues that the IMF is too reckless. Now on his own, Hunt goes after a shadowy and deadly rogue organization called the Syndicate."
Brooklyn,2015,"Drama, Romance","In late 1951, Eilis Lacey, a young Irish girl, emigrates to Brooklyn. Sponsored by Father Flood, a priest from her native town Enniscorthy, she is assured to find a full-time job there. But the early days are tough, seasickness being soon replaced by loneliness and homesickness, two feelings all the more acutely felt by Eilis for having had to leave behind her widowed mother and her dear sister Rose. She nevertheless little by little manages to find her footing by adapting to her job as a salesgirl, by studying bookkeeping at Brooklyn College as well as with a little help from both Father Flood and Mrs. Kehoe, the owner of the boarding school she now lives in. And not only does graduation follow but love shows its face in Tony, an Italian-American plumber, full of adoration and respect for her. They end up marrying, although keeping the thing secret. It is at that point that tragedy strikes inciting Eilis to return to Enniscorthy to support her mother morally. And there a strange thing happens : she gradually gets lured by the charms of her native place, going far as to let herself be wooed by Jim Farrell, a young local."
Spectre,2015,"Action, Adventure, Thriller","A cryptic message from the past sends James Bond on a rogue mission to Mexico City and eventually Rome, where he meets Lucia, the beautiful and forbidden widow of an infamous criminal. Bond infiltrates a secret meeting and uncovers the existence of the sinister organisation known as SPECTRE. Meanwhile back in London, Max Denbigh, the new head of the Centre of National Security, questions Bond's actions and challenges the relevance of MI6 led by M. Bond covertly enlists Moneypenny and Q to help him seek out Madeleine Swann, the daughter of his old nemesis Mr White, who may hold the clue to untangling the web of SPECTRE. As the daughter of the assassin, she understands Bond in a way most others cannot. As Bond ventures towards the heart of SPECTRE, he learns a chilling connection between himself and the enemy he seeks."
The Act of Killing,2012,"Documentary, Crime","A documentary which challenges former Indonesian death-squad leaders to reenact their mass-killings in whichever cinematic genres they wish, including classic Hollywood crime scenarios and lavish musical numbers."
One Piece Film Z,2012,"Animation, Action, Adventure","A former Marine admiral steals the Dyna Stones, and stands in the way of the Straw Hat Pirates."
Runner Runner,2013,"Crime, Thriller","Princeton grad student Richie, believing he's been swindled, travels to Costa Rica to confront online gambling tycoon Ivan Block. Richie is seduced by Block's promise of immense wealth, until he learns the disturbing truth about his benefactor. When the FBI tries to coerce Richie to help bring down Block, Richie faces his biggest gamble ever: attempting to outmaneuver the two forces closing in on him."
The Intern,2015,"Comedy, Drama","A retired 70-year-old widower, Ben (played by Robert De Niro), is bored with retired life. He applies to a be a senior intern at an online fashion retailer and gets the position. The founder of the company is Jules Ostin (Anne Hathaway), a tireless, driven, demanding, dynamic workaholic. Ben is made her intern, but this is a nominal role - she doesn't intend to give him work and it is just window dressing. However, Ben proves to be quite useful and, more than that, a source of support and wisdom."
Blue Ruin,2013,"Crime, Drama, Thriller","A mysterious outsider's quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance. Proving himself an amateur assassin, he winds up in a brutal fight to protect his estranged family."
Unfinished Business,2015,Comedy,"A hard-working small business owner (Vince Vaughn) and his two associates (Tom Wilkinson, Dave Franco) travel to Europe to close the most important deal of their lives. But what began as a routine business trip goes off the rails in every imaginable - and unimaginable - way, including unplanned stops at a massive sex fetish event and a global economic summit."
The Great Beauty,2013,Drama,"Journalist Jep Gambardella has charmed and seduced his way through the lavish nightlife of Rome for decades. Since the legendary success of his one and only novel, he has been a permanent fixture in the city's literary and social circles, but when his sixty-fifth birthday coincides with a shock from the past, Jep finds himself unexpectedly taking stock of his life, turning his cutting wit on himself and his contemporaries, and looking past the extravagant nightclubs, parties, and cafés to find Rome in all its glory: a timeless landscape of absurd, exquisite beauty."
Rio 2,2014,"Animation, Adventure, Comedy","It's a jungle out there for Blu, Jewel and their three kids after they're hurtled Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets the most fearsome adversary of all: his father-in-law."
Jobs,2013,"Biography, Drama",The story of Steve Jobs' ascension from college dropout into one of the most revered creative entrepreneurs of the 20th century.
Barefoot,2014,"Comedy, Drama, Romance","The ""black sheep"" son of a wealthy family meets a young psychiatric patient who's been raised in isolation her entire life. He takes the naive young woman home for his brother's wedding to convince his family that he's finally straightened out his life. She impresses the family with her genuine, if unstable charm. Along the way they fall into an improbable love"
Frances Ha,2012,"Comedy, Drama, Romance","Frances lives in New York, but she doesn't really have an apartment. Frances is an apprentice for a dance company, but she's not really a dancer. Frances has a best friend named Sophie, but they aren't really speaking anymore. Frances throws herself headlong into her dreams, even as their possible reality dwindles. Frances wants so much more than she has but lives her life with unaccountable joy and lightness."
White House Down,2013,"Action, Drama, Thriller","Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country."
Blue Jasmine,2013,Drama,"Jasmine French used to be on the top of the heap as a New York socialite, but now is returning to her estranged sister in San Francisco utterly ruined. As Jasmine struggles with her haunting memories of a privileged past bearing dark realities she ignored, she tries to recover in her present. Unfortunately, it all proves a losing battle as Jasmine's narcissistic hangups and their consequences begin to overwhelm her. In doing so, her old pretensions and new deceits begin to foul up everyone's lives, especially her own."
Fruitvale Station,2013,"Biography, Drama, Romance","This is the true story of Oscar, a 22-year-old Bay Area resident who wakes up on the morning of December 31, 2008 and feels something in the air. Not sure what it is, he takes it as a sign to get a head start on his resolutions: being a better son to his mother, whose birthday falls on New Year's Eve, being a better partner to his girlfriend, who he hasn't been completely honest with as of late, and being a better father to T, their beautiful 4 year old daughter. He starts out well, but as the day goes on, he realizes that change is not going to come easy. He crosses paths with friends, family, and strangers, each exchange showing us that there is much more to Oscar than meets the eye. But it would be his final encounter of the day, with police officers at the Fruitvale BART station that would shake the Bay Area to its very core, and cause the entire nation to be witnesses to the story of Oscar Grant."
The Zero Theorem,2013,"Comedy, Drama, Fantasy","A hugely talented but socially isolated computer operator is tasked by Management to prove the Zero Theorem: that the universe ends as nothing, rendering life meaningless. But meaning is what he already craves."
"Like Father, Like Son",2013,Drama,"Would you choose your natural son, or the son you believed was yours after spending 6 years together? Kore-eda Hirokazu, the globally acclaimed director of ""Nobody Knows"", ""Still Walking"" and ""I Wish"", returns to the big screen with another family - a family thrown into torment after a phone call from the hospital where the son was born... Ryota has earned everything he has by his hard work, and believes nothing can stop him from pursuing his perfect life as a winner. Then one day, he and his wife, Midori, get an unexpected phone call from the hospital. Their 6-year-old son, Keita, is not 'their' son - the hospital gave them the wrong baby. Ryota is forced to make a life-changing decision, to choose between 'nature' and 'nurture.' Seeing Midori's devotion to Keita even after learning his origin, and communicating with the rough yet caring family that has raised his natural son for the last six years, Ryota also starts to question himself: has he really been a 'father' all these years..."
Dark Touch,2013,Horror,"In a remote town in Ireland, eleven-year-old Niamh finds herself the sole survivor of a bloody massacre that killed her parents and younger brother. Suspecting a gang of homicidal vandals, the police ignore Niamh's explanation that the house is the culprit. To help ease her trauma, dutiful neighbors Nat and Lucas take her in with the supervision of a social worker. Niamh has trouble finding peace with the wholesome and nurturing couple, and horrific danger continues to manifest."
The Captive,2014,"Crime, Drama, Mystery","Teenager Cassandra is locked up against her will unable to contact her family to let them know she's still alive. Flashback to eight years ago when 9-year-old Cass was abducted from her father's truck and he goes straight to the authorities who immediately peg him as the prime suspect. Eight years later, her father, Matthew, is still being investigated by the police who are also trying to crack the bigger problem of crimes against children, Matthew's marriage has deteriorated and leads in the case are hard to come by. So much time but so little has changed and it's going to be up to Matthew and Cassandra herself to repair the estranged family."
A Girl Walks Home Alone at Night,2014,"Drama, Horror","In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire."
Fifty Shades of Grey,2015,"Drama, Romance, Thriller","When Anastasia Steele, a literature student, goes to interview the wealthy Christian Grey as a favor to her roommate Kate Kavanagh, she encounters a beautiful, brilliant and intimidating man. The innocent and naive Ana starts to realize she wants him. Despite his enigmatic reserve and advice, she finds herself desperate to get close to him. Not able to resist Ana's beauty and independent spirit, Christian Grey admits he wants her too, but on his own terms. Ana hesitates as she discovers the singular tastes of Christian Grey - despite the embellishments of success, his multinational businesses, his vast wealth, and his loving family, Grey is consumed by the need to control everything."
The Babadook,2014,"Drama, Horror","Amelia, who lost her husband in a car crash on the way to give birth to Samuel, their only child, struggles to cope with her fate as a single mom. Samuel's constant fear of monsters and violent reaction to overcome the fear doesn't help her cause either, which makes her friends become distant. When things can not get any worse, they read a strange book in their house about the 'Babadook' monster that hides in the dark areas of their house. Even Amelia seems to feel the effect of Babadook and desperately tries in vain to destroy the book. The nightmarish experiences the two encounter form the rest of the story."
Moms Mabley: I Got Somethin' to Tell You,2013,"Documentary, Comedy","A look at the work and influence of African-American stand-up comedienne, Moms Mabley."
Enemy,2013,"Mystery, Thriller","Adam Bell is a Toronto area History college professor. He is a rather somber man, largely because he is stuck in a routine, which includes a relationship with his live-in girlfriend, Mary. While watching a rental movie, he spots an actor in a bit part that looks like him. He becomes obsessed with finding out about this double of his. He learns that the actor's stage name is Daniel Saint Claire, whose legal name is Anthony Claire. Claire is a Toronto based actor with only a few on-screen credits, and is married to a woman named Helen who is currently several months pregnant. Adam then becomes obsessed with meeting Claire, who he learns upon first sighting that they look exactly the same, from the facial hair to a scar each has, but Claire who outwardly is more ""put together"" than Adam. Their lives become intertwined as Claire himself ends up becoming obsessed with Adam, but in a slightly different way."
"Batman: The Dark Knight Returns, Part 1",2012,"Animation, Action, Adventure","Batman has not been seen for ten years. A new breed of criminal ravages Gotham City, forcing 55-year-old Bruce Wayne back into the cape and cowl. But, does he still have what it takes to fight crime in a new era?"
The Hobbit: The Battle of the Five Armies,2014,"Adventure, Fantasy","After the Dragon leaves the Lonely Mountain, the people of Lake-town see a threat coming. Orcs, dwarves, elves and people prepare for war. Bilbo sees Thorin going mad and tries to help. Meanwhile, Gandalf is rescued from the Necromancer's prison and his rescuers realize who the Necromancer is."
The Gallows,2015,"Horror, Thriller","Twenty years after an accident during a small town high school play results in death, students at the school resurrect the failed stage production in a misguided attempt to honor the anniversary of the tragedy - but ultimately find out that some things are better left alone."
Sound City,2013,"Documentary, Music",The history of Sound City and their huge recording device; exploring how digital change has allowed 'people that have no place' in music to become stars. It follows former Nirvana drummer and Foo Fighter Dave Grohl as he attempts to resurrect the studio back to former glories.
Wild,2014,"Adventure, Biography, Drama","With the dissolution of her marriage and the death of her mother, Cheryl Strayed has lost all hope. After years of reckless, destructive behavior, she makes a rash decision. With absolutely no experience, driven only by sheer determination, Cheryl hikes more than a thousand miles of the Pacific Crest Trail, alone. Wild powerfully captures the terrors and pleasures of one young woman forging ahead against all odds on a journey that maddens, strengthen, and ultimately heals her."
Mandela: Long Walk to Freedom,2013,"Biography, Drama, History","Nelson Mandela is a South African lawyer who joins the African National Congress in the 1940s when the law under the Apartheid system's brutal tyranny proves useless for his people. Forced to abandon peaceful protest for armed resistance after the Sharpeville Massacre, Mandela pays the price when he and his comrades are sentenced to life imprisonment for treason while his wife, Winnie, is abused by the authorities herself. Over the decades in chains, Mandela's spirit is unbowed as his struggle goes on in and beyond his captivity to become an international cause. However, as Winnie's determination hardens over the years into a violent ruthlessness, Nelson's own stature rises until he becomes the renowned leader of his movement. That status would be put to the test as his release nears and a way must be found to win a peaceful victory that will leave his country, and all its peoples, unstained."
The Selfish Giant,2013,Drama,"An official selection at the Cannes Film Festival, The Selfish Giant is a contemporary fable about 13 year old Arbor (Conner Chapman) and his best friend Swifty (Shaun Thomas). Excluded from school and outsiders in their own neighborhood, the two boys meet Kitten (Sean Gilder), a local scrap dealer. Wandering their town with just a horse and a cart, they begin collecting scrap metal for him. Swifty has a natural gift with horses while Arbor emulates Kitten - keen to impress him and make some money. However, Kitten favors Swifty, leaving Arbor feeling hurt and excluded, driving a wedge between the boys. As Arbor becomes increasingly greedy and exploitative, tensions build, leading to a tragic event that transforms them all."
Olympus Has Fallen,2013,"Action, Thriller","When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential Secret Service Agent Mike Banning finds himself trapped within the building. As our national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster."
Pieta,2012,"Crime, Drama",A loan shark is forced to reconsider his violent lifestyle after the arrival of a mysterious woman claiming to be his long-lost mother.
Lesson of the Evil,2012,"Horror, Thriller",A popular high school teacher concocts an extreme plan to deal with the rise of bullying and bad behavior among the student body.
22 Jump Street,2014,"Action, Comedy, Crime","After making their way through high school (twice), big changes are in store for officers Schmidt (Jonah Hill) and Jenko (Channing Tatum) when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them."
Minions,2015,"Animation, Action, Adventure","Ever since the dawn of time, the Minions have lived to serve the most despicable of masters. From the T-Rex to Napoleon, the easily distracted tribe has helped the biggest and the baddest of villains. Now, join protective leader Kevin, teenage rebel Stuart, and lovable little Bob on a global road trip. They'll earn a shot to work for a new boss, the world's first female supervillain, and try to save all of Minionkind from annihilation."
The Possession of Michael King,2014,Horror,"Michael King (Shane Johnson), who doesn't believe in God or the Devil. Following the sudden death of his wife, Michael decides to make his next film about the search for the existence of the supernatural, making himself the center of the experiment - allowing demonologists, necromancers, and various practitioners of the occult to try the deepest and darkest spells and rituals they can find on him - in the hopes that when they fail, he'll once and for all have proof that religion, spiritualism, and the paranormal are nothing more than myth. But something does happen. An evil and horrifying force has taken over Michael King. And it will not let him go."
