Title,Year,Genres,Plot
Back in the Day,2014,Comedy,"Sometimes in order to move forward, you have to go back. And in this raunchy comedy, Jim Owens does just that when he heads home for his high school reunion. In an attempt to relive the glory days with his boys and explore an old romance, he nearly destroys his hometown and friendships."
Big Hero 6,2014,"Animation, Action, Adventure","When a devastating event befalls the city of San Fransokyo and catapults Hiro into the midst of danger, he turns to Baymax and his close friends adrenaline junkie Go Go Tomago, neatnik Wasabi, chemistry whiz Honey Lemon and fanboy Fred. Determined to uncover the mystery, Hiro transforms his friends into a band of high-tech heroes called ""Big Hero 6."""
Think Like a Man Too,2014,"Comedy, Romance","In the highly anticipated sequel, which was inspired by Steve Harvey's best-selling book Act Like a Lady, Think Like a Man, all the couples are back for a wedding in Las Vegas. But plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event."
White Bird in a Blizzard,2014,"Drama, Mystery, Thriller","Kat Connors is 17 years old when her seemingly perfect homemaker mother, Eve, disappears in 1988. Having lived for so long in an emotionally repressed household, she barely registers her mother's absence and certainly doesn't blame her doormat of a father, Brock, for the loss. But as time passes, Kat begins to come to grips with how deeply Eve's disappearance has affected her. Returning home on a break from college, she finds herself confronted with the truth about her mother's departure, and her own denial about the events surrounding it..."
Koch,2012,"Documentary, Biography, History","Three-time New York City Mayor (1978-1989) Ed Koch was combative, funny, and blunt. He was also intensely private. 'Koch' gives us a contemporary history of the world's greatest city, and an intimate portrait of the 86-year old former mayor, as he confronts his own mortality and legacy. The film examines issues still relevant today - race, homelessness, AIDS, and gay rights - and gives us a window into the trials and tribulations of the nation's most famous mayor in the world's most wondrous city."
Geography Club,2013,Comedy,"""GEOGRAPHY CLUB"" is based on Brent Hartinger's best-selling critically acclaimed novel: ""What am I looking for?"" asks 16-year old Russell Middlebrook of himself as he heads off on his newest adventure. Russell is still going on dates with girls, while Kevin will do anything to prevent his football teammates from finding out what he is concealing, Min and Terese tell everyone they're really just good friends, and Ike can't figure out who he is or what he wants to be. But the truth is too hard to hide - at least from each other - so they form the Geography Club. Nobody else will discover the truth about them as no other students in their right minds would ever join a club that sounds so boring. Their secrets will be safe from classmates. But are they? ""Geography Club"" is a smart, fast, moving and funny account of contemporary teenagers as they discover their own sexual identities, dreams and values and not merely live out their parents' desires and ambitions. Russell, Kevin, Min, Terese and Ike may not learn about actual places in their undercover social club, but they daringly explore the danger-filled, clique-mined landscape of Goodkind High School and courageously begin their journey in the exciting, still uncharted terrain of the human heart."
Coffee Town,2013,Comedy,"Will (Glenn Howerton) is a 30-something website manager who uses local café, Coffee Town, as his office. When the owners of the shop discuss plans to convert Coffee Town into a bar, Will enlists the help of his two best friends Chad and Gino (Steve Little and Ben Schwartz) to save his freeloading existence. In order to thwart the plans of Coffee Town's owners, the trio stages a robbery to create the illusion of an unsafe neighborhood not suitable for the proposed venue. Also standing in their way is Sam (Josh Groban), a disgruntled barista with delusions of grandeur-he wants to be a rock star-and Will's heartache over unrequited love for Becca (Adrianne Palicki)."
Calvary,2014,Drama,"Father James is a small-town priest in Ireland whose Sunday confessionals suddenly include a threat to kill him in a week's time as a matter of principle. Deeply troubled and conflicted about how to respond, Father James tries to go on with his calling through that week. However, that proves impossible as he is confronted with a troubling variety of spiritual challenges from both his estranged daughter and his own parishioners. In those dispiriting struggles, Father James' life begins to fall apart as time runs out towards a confrontation that seems to crystallize his values and what he wants his life to be."
Grave Encounters 2,2012,Horror,"For people who don't believe the events of Grave Encounters (2011).Grave Encounters, film student Alex Wright is out to prove them wrong. Alex is as obsessed with the first film as the 20 million people who viewed its viral trailer on YouTube. While he and his friends research the events and visit the real psychiatric hospital depicted in the original film, they find themselves face-to-face with unspeakable evil, banking on the hope that their knowledge of the original film will help them survive the sequel."
Don Jon,2013,"Comedy, Drama, Romance","Jon Martello objectifies everything in his life: his apartment, his car, his family, his church, and, of course, women. His buddies even call him Don Jon because of his ability to pull ""10s"" every weekend without fail. Yet even the finest flings don't compare to the transcendent bliss he achieves alone in front of the computer watching pornography. Dissatisfied, he embarks on a journey to find a more gratifying sex life, but ends up learning larger lessons of life and love through relationships with two very different women."
Home,2015,"Animation, Adventure, Comedy","When Oh, a loveable misfit from another planet, lands on Earth and finds himself on the run from his own people, he forms an unlikely friendship with an adventurous girl named Tip who is on a quest of her own. Through a series of comic adventures with Tip, Oh comes to understand that being different and making mistakes is all part of being human. And while he changes her planet and she changes his world, they discover the true meaning of the word HOME."
Draft Day,2014,"Drama, Sport","It's draft day in the NFL and as general manager of the Cleveland Browns, Sonny is forced to come up with a big move. After trading for the number one pick, Sonny has to choose between a lower-ranked linebacker with a questionable past or a celebrated quarterback with a questionable future. All the while, Sonny is walking in the footsteps of his father and personal complications force their way to the surface."
Inequality for All,2013,Documentary,A documentary that follows former U.S. Labor Secretary Robert Reich as he looks to raise awareness of the country's widening economic gap.
Transcendence,2014,"Drama, Mystery, Romance","Dr. Will Caster (Johnny Depp) is the foremost researcher in the field of Artificial Intelligence, working to create a sentient machine that combines the collective intelligence of everything ever known with the full range of human emotions. His highly controversial experiments have made him famous, but they have also made him the prime target of anti-technology extremists who will do whatever it takes to stop him. However, in their attempt to destroy Will, they inadvertently become the catalyst for him to succeed-to be a participant in his own transcendence. For his wife Evelyn (Rebecca Hall) and best friend Max Waters (Paul Bettany), both fellow researchers, the question is not if they can...but if they should. Their worst fears are realized as Will's thirst for knowledge evolves into a seemingly omnipresent quest for power, to what end is unknown. The only thing that is becoming terrifyingly clear is there may be no way to stop him."
Before Midnight,2013,"Drama, Romance","It has been nine years since we last met Jesse and Celine, the French-American couple who once met on a train in Vienna. They now live in Paris with twin daughters, but have spent a summer in Greece on the invitation of an author colleague of Jesse's. When the vacation is over and Jesse must send his teenage son off to the States, he begins to question his life decisions, and his relationship with Celine is at risk."
Muck,2015,Horror,"After narrowly escaping an ancient burial ground, long forgotten and buried underneath the marshes of Cape Cod, a group of friends emerge from the thick, marshy darkness, tattered and bloody, lucky to be alive. They have already lost two of their friends in the marsh, presumably dead. They stumble upon an empty Cape Cod vacation house alongside the foggy marsh and break in to take shelter. Whatever was in the marsh is still after them and soon after one of them goes for help, the rest of the group learns that the evil in the marsh is not the only thing that wants them dead. Something worse, something more savage, was lying in wait just outside the marsh, in the house. What happens next is unspeakable, horror that cannot be unseen. These unlucky travelers spend their St. Patrick's Day trapped between two evils forcing them to fight, die, or go back the way they came."
Somm,2012,Documentary,"Four sommeliers attempt to pass the prestigious Master Sommelier exam, a test with one of the lowest pass rates in the world."
The Four,2012,"Action, Crime, Fantasy","A government department known as the Six Panels appoints their best officer to infiltrate a special force called the Divine Constabulary, to ensure their way in stopping the circulation of counterfeit coin currency in the capital."
The Other Woman,2014,"Comedy, Romance","After discovering her boyfriend is married, Carly Whitten tries to get her ruined life back on track. But when she accidentally meets the wife he's been cheating on, she realizes they have much in common, and her sworn enemy becomes her greatest friend. When yet another affair is discovered, all three women team up to plot mutual revenge on their cheating, lying, three-timing SOB."
Run All Night,2015,"Action, Crime, Drama","Professional Brooklyn hitman Jimmy Conlon is more commonly known as THE GRAVEDIGGER. Jimmy was a mob hit-man, who was best friends with his boss Sean Maguire. But when Jimmy's son, Michael, is marked for death by the mob, Jimmy must go up against Sean to protect Michael at all costs. Together, he and Michael must avoid corrupt cops, contract killers and the mob to survive the night."
About Time,2013,"Comedy, Drama, Fantasy","At the age of 21, Tim Lake (Domhnall Gleeson) discovers he can travel in time... The night after another unsatisfactory New Year party, Tim's father (Bill Nighy) tells his son that the men in his family have always had the ability to travel through time. Tim can't change history, but he can change what happens and has happened in his own life-so he decides to make his world a better place...by getting a girlfriend. Sadly, that turns out not to be as easy as you might think. Moving from the Cornwall coast to London to train as a lawyer, Tim finally meets the beautiful but insecure Mary (Rachel McAdams). They fall in love, then an unfortunate time-travel incident means he's never met her at all. So they meet for the first time again-and again-but finally, after a lot of cunning time-traveling, he wins her heart. Tim then uses his power to create the perfect romantic proposal, to save his wedding from the worst best-man speeches, to save his best friend from professional disaster and to get his pregnant wife to the hospital in time for the birth of their daughter, despite a nasty traffic jam outside Abbey Road. But as his unusual life progresses, Tim finds out that his unique gift can't save him from the sorrows and ups and downs that affect all families, everywhere. There are great limits to what time travel can achieve, and it can be dangerous too."
Grown Ups 2,2013,Comedy,"After having the greatest time of his life three summers ago, Lenny (Adam Sandler), decides he wants to move his family back to his hometown and have them grow up with his gang of childhood friends and their kids. But between old bullies, new bullies, schizophrenic bus drivers, drunk cops on skis, psycho grade school girlfriends and 400 costumed party crashes he finds out that sometimes crazy follows you."
Neighboring Sounds,2012,"Drama, Thriller","Life in a middle-class neighborhood in present day Recife, Brazil, takes an unexpected turn after the arrival of an independent private security firm. The presence of these men brings a sense of safety and a good deal of anxiety to a culture which runs on fear. Meanwhile, Bia, married and mother of two, must find a way to deal with the constant barking and howling of her neighbor's dog. A slice of 'Braziliana', a reflection on history, violence and noise."
Premature,2014,"Comedy, Fantasy","A high school senior has to re-live losing his virginity over and over again until he gets it right, with the right girl."
Into the Woods,2014,"Adventure, Comedy, Drama","Into the Woods is a modern twist on the beloved Brothers Grimm fairy tales in a musical format that follows the classic tales of Cinderella, Little Red Riding Hood, Jack and the Beanstalk, and Rapunzel-all tied together by an original story involving a baker and his wife, their wish to begin a family and their interaction with the witch who has put a curse on them."
American Sniper,2014,"Action, Biography, Drama","Chris Kyle was nothing more than a Texan man who dreamed of becoming a cowboy, but in his thirties he found out that maybe his life needed something different, something where he could express his real talent, something that could help America in its fight against terrorism. So he joined the SEALs in order to become a sniper. After marrying, Kyle and the other members of the team are called for their first tour of Iraq. Kyle's struggle isn't with his missions, but about his relationship with the reality of the war and, once returned at home, how he manages to handle it with his urban life, his wife and kids."
The Kings of Summer,2013,"Adventure, Comedy, Drama","Joe Toy, on the verge of adolescence, finds himself increasingly frustrated by his single father, Frank's attempts to manage his life. Declaring his freedom once and for all, he escapes to a clearing in the woods with his best friend, Patrick, and a strange kid named Biaggio. He announces that they are going to build a house there, free from responsibility and parents. Once their makeshift abode is finished, the three young men find themselves masters of their own destiny, alone in the woods."
Yeh Jawaani Hai Deewani,2013,"Comedy, Drama, Musical","Yeh Jawaani Hai Deewani is the story of the relationship between two characters, Bunny (Ranbir Kapoor) & Naina (Deepika Padukone), at two separate but defining times in their lives... first, when they are just out of college and standing on the crossroads of multiple decisions that will shape who and what they become... and then later on, in their late-twenties when they meet again, holding on to certain fulfilled and certain unfulfilled dreams, at a crossroads of another nature this time... how these two characters affect, change, befriend and eventually fall in love with each other is the journey the film aspires to take us on.."
The Rocket,2013,Drama,"A boy who is believed to bring bad luck to everyone around him leads his family and two new friends through Laos to find a new home. After a calamity-filled journey through a land scarred by the legacy of war, to prove he's not bad luck he builds a giant rocket to enter the most exciting and dangerous competition of the year: the Rocket Festival."
The Monuments Men,2014,"Drama, History, War","Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on an unlikely World War II platoon, tasked by FDR with going into Germany to rescue artistic masterpieces from Nazi thieves and returning them to their rightful owners. It would be an impossible mission: with the art trapped behind enemy lines, and with the German army under orders to destroy everything as the Reich fell, how could these guys - seven museum directors, curators, and art historians, all more familiar with Michelangelo than the M-1 - possibly hope to succeed? But as the Monuments Men, as they were called, found themselves in a race against time to avoid the destruction of 1000 years of culture, they would risk their lives to protect and defend mankind's greatest achievements."
Caesar Must Die,2012,Drama,"In Rebibbia Prison in Italy, its inmate theatre program puts on a well received production of William Shakespeare's Julius Caesar. The film goes back several months earlier as the coordinators announces the play as the program's production of the year. With that project set, we see its creation as the cast is auditioned and selected for this artistic challenge. As they rehearse, the prisoners, many of whom are long termers and lifers for serious crimes, find that the classic play has both a striking resonance and contrast to their confined lives."
Maps to the Stars,2014,"Comedy, Drama","The Weiss family is the archetypical Hollywood dynasty: father Stafford is an analyst and coach, who has made a fortune with his self-help manuals; mother Cristina mostly looks after the career of their son Benjie, 13, a child star. One of Stafford's clients, Havana, is an actress who dreams of shooting a remake of the movie that made her mother, Clarice, a star in the 60s. Clarice is dead now and visions of her come to haunt Havana at night... Adding to the toxic mix, Benjie has just come off a rehab program he joined when he was 9 and his sister, Agatha, has recently been released from a sanatorium where she was treated for criminal pyromania and befriended a limo driver Jerome who is also an aspiring actor."
Student of the Year,2012,"Comedy, Drama, Romance","Dean Yoginder Vashisht (Rishi Kapoor), retired, has fallen gravely ill. Several students from his final year at St. Theresa's College rush to his side. In flashbacks, they all recall the events that none of them have gotten over yet, including the dean, and how the ""Student of the Year"" competition shaped who they were, how they related, and what they've become."
St. Vincent,2014,"Comedy, Drama","Vincent is an old Vietnam vet whose stubbornly hedonistic ways have left him without money or a future. Things change when his new next-door neighbor's son, Oliver, needs a babysitter and Vince is willing enough for a fee. From that self-serving act, an unexpected friendship forms as Vincent and Oliver find so much of each other's needs through each other. As Vincent mentors Oliver in street survival and other worldly ways, Oliver begins to see more in the old man than just his foibles. When life takes a turn for the worse for Vincent, both them find the best in each other than no one around them suspects."
Horrible Bosses 2,2014,"Comedy, Crime","Fed up with answering to higher-ups, Nick, Dale and Kurt decide to become their own bosses by launching their own business. But a slick investor soon pulls the rug out from under them. Outplayed and desperate, and with no legal recourse, the three would-be entrepreneurs hatch a misguided plan to kidnap the investor's adult son and ransom him to regain control of their company."
Bad Words,2013,"Comedy, Drama","An adult, who has been a school dropout, finds a loophole in the regulations and participates in the largest spelling bee in the USA, The Golden Quill. His aim is to take revenge for something done to him in the past."
Getaway,2013,"Action, Crime, Thriller","Former race car driver Brent Magna is pitted against the clock as he commandeers a custom Shelby Super Snake Mustang, taking it and its unwitting owner on a high-speed adventure at the command of a mysterious villain on a race against time to save the life of his kidnapped wife."
"Batman: The Dark Knight Returns, Part 2",2013,"Animation, Action, Adventure","After a 10 year absence, the Dark Knight has returned to Gotham to fight the Mutant threat. After defeating the mutants, he has taken control of a gang loyal to him in order to make Gotham a safer place. But, the Joker has decided to stop this, and fights against Batman in a deadly duel. Meanwhile, the Man of Steel is ordered to stop the Dark Knight because the government believes that his ways are wrong. As Batman fights the Joker, the Man of Steel prepares for his greatest fight."
Wrong Cops,2013,"Comedy, Crime","Duke is a crooked and music-mad police officer. Frankly, he's a really bad cop. He deals recreational drugs and loves to bully the citizens of Los Angeles. Among Duke's partners in the department are a sexually abusive policeman, an extortionist blonde, a family guy with a dubious past, and a one-eyed extremist who dreams of becoming a techno musician. Their once smoothly running corrupt scheme develops a critical flaw when a guy whom Duke shots by accident and stuffs in the trunk of his car suddenly turns out to be alive..."
The Pervert's Guide to Ideology,2012,Documentary,"The sequel to The Pervert's Guide to Cinema sees the reunion of brilliant philosopher Slavoj Zizek with filmmaker Sophie Fiennes, now using their inventive interpretation of moving pictures to examine ideology - the collective fantasies that shape our beliefs and practices."
56 Up,2012,Documentary,Director Michael Apted revisits the same group of British-born adults after a 7 year wait. The subjects are interviewed as to the changes that have occurred in their lives during the last seven years.
Robot Overlords,2014,"Action, Adventure, Sci-Fi","Alien robots come to Earth and assert their control over humanity. They claim that they only want to observe humanity. They enforce a strict no one allowed outside rule. They implant humans with a device that alerts sentries to anyone who goes outside and if they refuse to comply they are destroyed. They also employ humans to be their proctors. One of these men is Robin Smythe. He tries to get Kate Flynn to be his wife but she still mourns her husband whom Smythe says died. But her son Sean, doesn't believe it. He sends messages out asking anyone who knows anything about his father to tell him. One day he and three young people are fooling around when they discover that they turned off their implant. That's when they go outside and someone answers Sean's message and tells him where his father is. So he goes out to find him But Smythe pursues him and brings his mother as leverage. And when the robots corner Sean he somehow manages to control them. So the Robots are curious why he can do that. So they tell Smythe to capture him."
Saving Mr. Banks,2013,"Biography, Comedy, Drama","When Walt Disney's daughters begged him to make a movie of their favorite book, P.L. Travers' Mary Poppins (1964), he made them a promise - one that he didn't realize would take 20 years to keep. In his quest to obtain the rights, Walt comes up against a curmudgeonly, uncompromising writer who has absolutely no intention of letting her beloved magical nanny get mauled by the Hollywood machine. But, as the books stop selling and money grows short, Travers reluctantly agrees to go to Los Angeles to hear Disney's plans for the adaptation. For those two short weeks in 1961, Walt Disney pulls out all the stops. Armed with imaginative storyboards and chirpy songs from the talented Sherman brothers, Walt launches an all-out onslaught on P.L. Travers, but the prickly author doesn't budge. He soon begins to watch helplessly as Travers becomes increasingly immovable and the rights begin to move further away from his grasp. It is only when he reaches into his own childhood that Walt discovers the truth about the ghosts that haunt her, and together they set Mary Poppins free to ultimately make one of the most endearing films in cinematic history."
Wolf Children,2012,"Animation, Drama, Family","After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
Playing It Cool,2014,"Comedy, Romance","A screenwriter working on a script for a romantic movie is having a hard time because he is a little jaded when it comes to love since his mother abandoned him when he was a boy. So he spends his time ruining every relationship he has. But he really needs to make the script, so he turns to his friends for their experiences. But it's not enough. He then meets a girl who captures his heart. Problem is that she's already engaged. But she allows him to be her friend."
San Andreas,2015,"Action, Adventure, Drama","In San Andreas, California is experiencing a statewide earthquake that goes on record as easily the biggest earthquake in history. Dwayne Johnson plays Ray Gaines, a helicopter rescue pilot for the Los Angeles Fire Department, who is trying to find his daughter, Blake (Alexandra Daddario), who is in San Francisco amidst the chaos. Ray's estranged wife, Emma, is forced to turn to Ray for help, as he is her last resort. Together they journey to save their daughter."
The Queen of Versailles,2012,Documentary,"In 2008, the Siegel family was top of the heap with the wealthy and politically influential David Siegel running the successful Westgate Resorts time-share business. To enjoy their good life, he and his engineer turned beauty queen trophy wife, Jackie, were building the largest single family private home in America. Suddenly, both the US economy and Westgate were rocked by the devastating sub-prime mortgage collapse. In the new economic reality with the business teetering on ruin, we follow the Siegels as they struggle to scale down their grotesquely ostentatious lifestyle. For this overprivileged family, accepting that situation proved a dispiriting struggle even as their unfinished dream home became a monument of their superficial values."
The House I Live In,2012,Documentary,"From the dealer to the narcotics officer, the inmate to the federal judge, a penetrating look inside America's criminal justice system, revealing the profound human rights implications of U.S. drug policy."
Searching for Sugar Man,2012,"Documentary, Biography, Music","In the early 1970s, Sixto Rodriguez was a Detroit folksinger who had a short-lived recording career with only two well received but non-selling albums. Unknown to Rodriguez, his musical story continued in South Africa where he became a pop music icon and inspiration for generations. Long rumored there to be dead by suicide, a few fans in the 1990s decided to seek out the truth of their hero's fate. What follows is a bizarrely heartening story in which they found far more in their quest than they ever hoped, while a Detroit construction laborer discovered that his lost artistic dreams came true after all."
Beasts of the Southern Wild,2012,"Adventure, Drama, Fantasy","Hushpuppy, an intrepid six-year-old girl, lives with her father, Wink, in the Bathtub, a southern Delta community at the edge of the world. Wink's tough love prepares her for the unraveling of the universe; for a time when he's no longer there to protect her. When Wink contracts a mysterious illness, nature flies out of whack, temperatures rise, and the ice caps melt, unleashing an army of prehistoric creatures called aurochs. With the waters rising, the aurochs coming, and Wink's health fading, Hushpuppy goes in search of her lost mother."
How to Survive a Plague,2012,"Documentary, History, News","In the early years of the AIDS epidemic, the disease was considered a death sentence affecting communities, like the LGBT ones, whom many in power felt deserved it. This film tells the story of how militant activists like ACT-UP and TAG pushed for a meaningful response to this serious public health problem. As the activists struggled against political indifference, religious hostility, corporate greed and apparently skewed scientific research priorities with determination and sheer audacity, they produced a political wave that would lead to not only an effective treatment regime, but would advance LGBT rights beyond anyone's expectations."
Pixels,2015,"Action, Comedy, Fantasy","Sam Brenner, Will Cooper, Ludlow Lamonsoff, and Eddie ""The Fire Blaster"" Plant all played classic arcade video games as teenagers. But now they have to use their skills to try to save the world from aliens. The aliens watched video feeds that they thought was a declaration of war. So they send down the classic arcade games to destroy earth. They also get help from a military specialist. They have three lives and if all three get used then earth will be destroyed, and every time they lose a live the aliens take someone's life. Who will win, us or the aliens? It's an all-out battle to save our planet and everyone on it."
Maximum Conviction,2012,"Action, Adventure, Thriller","When former black ops operative Cross (Seagal) and his partner Manning (Austin) are assigned to decommission an old prison, they must oversee the arrival of two mysterious female prisoners. Before long, an elite force of mercenaries assault the prison in search of the new arrivals. As the true identities of the women are revealed, Cross realizes he's caught in the middle of something far bigger than he had imagined."
I Know That Voice,2013,Documentary,Several voice actors discuss their art and their careers.
Tangled Ever After,2012,"Animation, Short, Action","Rapunzel and Flynn Rider have their wedding, but Pascal and Maximus must recover the rings they lose in mid-ceremony."
Raze,2013,"Action, Drama, Horror","Raze, a horror/action film, focuses on two abducted women & 50 other women who are forced to fight each other using their bare hands."
Transformers: Age of Extinction,2014,"Action, Adventure, Sci-Fi","After the battle between the Autobots and Decepticons that leveled Chicago, humanity thinks that all alien robots are a threat. So Harold Attinger, a CIA agent, establishes a unit whose sole purpose is to hunt down all of them. But it turns out that they are aided by another alien robot who is searching for Optimus Prime. Cade Yeager, a ""robotics expert"", buys an old truck and upon examining it, he thinks it's a Transformer. When he powers it up, he discovers it's Optimus Prime. Later, men from the unit show up looking for Optimus. He helps Yeager and his daughter Tessa escape but are pursued by the hunter. They escape and Yeager learns from technology he took from the men that a technology magnate and defense contractor named Joshua Joyce is part of what's going on, so they go to find out what's going on."
The Hunt,2012,Drama,"Lucas is a Kindergarten teacher who takes great care of his students. Unfortunately for him, young Klara has a run-away imagination and concocts a lie about her teacher. Before Lucas is even able to understand the consequences, he has become the outcast of the town. The hunt is on to prove his innocence before it's taken from him for good."
V/H/S,2012,Thriller,"A POV, found footage horror film from the perspective of America's top genre filmmakers. A group of misfits are hired by an unknown third party to burglarize a desolate house in the countryside and acquire a rare tape. Upon searching the house, the guys are confronted with a dead body, a hub of old televisions and an endless supply of cryptic footage, each video stranger than the last."
Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama","A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier. They reach a fragile peace, but it proves short-lived, as both sides are brought to the brink of a war that will determine who will emerge as Earth's dominant species."
Tammy,2014,"Comedy, Romance","Tammy, who was recently fired from a Topper Jack's fast food restaurant, returns home only to find her husband enjoying a romantic meal with the neighbor. She quickly packs her necessities, and travels down three houses to her parent's home. Upon denied use of her mom's car to drive to Niagara Falls, she quickly resorts to an ""ailing"" grandmother, who also lives in the home...Only instead of traveling alone, Grandma Pearl wants in on the road trip. After realizing Grandma Pearl has the funds, they hit the road. Pearl soon proves to be quite the alcoholic despite her diabetes, and Tammy quickly turns into the ""baby-sitter."" From finding love in a bar to robbing a Topper Jack's in order to bail Pearl out of jail,the quirky adventure will have you finding yourself riding along for the misadventures of Tammy."
