Title,Year,Genres,Plot
40 Days and 40 Nights,2002,"Comedy, Romance","Nicole broke up with Matt months ago and is now engaged to someone else. He's very good-looking and has no trouble finding other lovers, but that doesn't help because he's still obsessed with wanting her back. Then he gets the inspiration that swearing off sex for Lent (all forms of sexual activity, even kissing or masturbation) will give him the perspective he needs. So of course a few days later he meets a woman and they fall in love. Now Matt sees his vow as a personal matter, and won't even tell her about it, but his friends think otherwise, and now the complications begin..."
Wet Hot American Summer,2001,"Comedy, Romance","The setting is Camp Firewood, the year 1981. It's the last day before everyone goes back to the real world, but there's still a summer's worth of unfinished business to resolve. At the center of the action is camp director Beth, who struggles to keep order while she falls in love with the local astrophysics professor. He is busy trying to save the camp from a deadly piece of NASA's Skylab which is hurtling toward earth. All that, plus: a dangerous waterfall rescue, love triangles, misfits, cool kids, and talking vegetable cans. The questions will all be resolved, of course, at the big talent show at the end of the day."
The Man Who Wasn't There,2001,"Crime, Drama","1949, Santa Rosa, California. A laconic, chain-smoking barber with fallen arches tells a story of a man trying to escape a humdrum life. It's a tale of suspected adultery, blackmail, foul play, death, Sacramento city slickers, racial slurs, invented war heroics, shaved legs, a gamine piano player, aliens, and Heisenberg's uncertainty principle. Ed Crane cuts hair in his in-law's shop; his wife drinks and may be having an affair with her boss, Big Dave, who has $10,000 to invest in a second department store. Ed gets wind of a chance to make money in dry cleaning. Blackmail and investment are his opportunity to be more than a man no one notices. Settle in the chair and listen."
Waking Life,2001,"Animation, Drama, Fantasy","Dreams. What are they? An escape from reality or reality itself? Waking Life follows the dream(s) of one man and his attempt to find and discern the absolute difference between waking life and the dreamworld. While trying to figure out a way to wake up, he runs into many people on his way; some of which offer one sentence asides on life, others delving deeply into existential questions and life's mysteries. We become the main character. It becomes our dream and our questions being asked and answered. Can we control our dreams? What are they telling us about life? About death? About ourselves and where we come from and where we are going? The film does not answer all these for us. Instead, it inspires us to ask the questions and find the answers ourselves."
Valentine,2001,"Horror, Mystery, Thriller","Valentine's Day 1988: At the school dance, geeky Jeremy Melton bravely faces one rejection after the other when asking four popular girls to dance with him. A fifth girl, plump and insecure, agrees, but they end up making out under the bleachers. When a group of school bullies catches them, the girl claims that Jeremy attacked her. This causes them to strip off his clothes and beat him up in front of the entire school. Flash forward to 2001. We meet the five girls who were in that school gym: Kate, Paige, Shelly, Lily and the formerly plump Dorothy. They are all in their 20's now and trying to sort out their love lives, which is appropriate, since Valentine's Day is coming up. After a disastrous date with a loser, one of the girls, a pre-med student, is murdered by a Cherub-mask wearing killer who sent her a death threat in the form of a Valentine card prior to the attack. After the four remaining girls are reunited at her funeral, they all start receiving threatening cards and messages. At first they don't know who would want to hurt them, but eventually they figure that maybe Jeremy is responsible. Police records show that Jeremy has completely disappeared, so no one knows what he looks like. Could the formerly nerdish Jeremy have had plastic surgery and turned into one of the girls' handsome boyfriends? Who ever it is, the lone survivor has to put a stop to this spurned individual's murder spree before she, too, becomes a valentine to die for."
L.I.E.,2001,"Crime, Drama","Fifteen-year-old Howie loses just about everything and everyone in the space of a single week, but ends up finding himself in the process. His mother has just died. His father, a building contractor, can barely keep tabs on his young girlfriend, let alone his own son. Thusly, the teen must navigate his adolescence virtually unsupervised. Floating towards an ill-behaved existence, Howie and his crowd begin robbing houses in the middle-class neighborhoods off the Long Island Expressway. Together, he and his best friend Gary break into a place belonging to an old guy named Big John, a local man who is a respected pillar of the community. When Big John fingers Gary for the crime, Howie learns that his pal has been leading a secret, dangerous but also alluring double life. Subsequently, we also discover that Big John has secrets of his own."
Exit Wounds,2001,"Action, Comedy, Crime","Orin Boyd (Seagal) is a Detroit cop who doesn't follow rules. After he saved the Vice President by violating every order he received he is transferred to one of the worst precincts in the city. There he quickly encounters some corrupt cops selling heroin to drug dealers. The problem is, it's very difficult to tell who is the bad guy and who you can trust."
"Dude, Where's My Car?",2000,"Comedy, Mystery, Sci-Fi","Roommates Jesse and Chester, both who have more than just a few cards short of a full deck, are stoner dudes who don't even do their jobs as pizza delivery guys well. They awaken one morning having little recollection of what they did the previous night, due to being wasted. They discover that their kitchen is full of prepackaged pudding, how they got all the pudding they are unaware. From a telephone message they receive, they come to the realization that at some point during the previous night they were at a party at the house of their girlfriends, twins Wanda and Wilma, and that today is their one year anniversary, which they did remember as they already bought the twins gifts. But the worst thing in not remembering what happened last night is that Jesse's car is missing. In trying to find out what happened to the car, they believe they have to recreate the feeling and mindset of last night, meaning getting wasted all over again. In trying to find the car, they, being the types that area easily distracted, get sidetracked by one item after another, most specifically the potential of having sex with hot babes (sex with which Wanda and Wilma have not yet provided them), and learning that they apparently had a suitcase filled with $200,000 last night, the suitcase and therefore the money to which they don't know what happened. During their day of discovery, they also end up encountering one group of alien wannabes, and two groups of actual aliens, all three groups who are after the continuum transfunctioner which they believe Jesse and Chester have. Jesse and Chester don't know where it is let alone what it is, but these three groups seem to be willing to do whatever necessary to get it from Jesse and Chester. In the process, Jesse and Chester may have to make decisions which may not only save their lives and those of Wanda, Wilma and their best friend Nelson, a zen-master, but that of the entire universe. But most importantly, they may actually find Jesse's car after all is said and done."
Bully,2001,"Biography, Crime, Drama","After finding himself at the constant abuse of his best friend, Bobby, Marty has become fed up with his friend's twisted ways. His girlfriend, a victim of Bobby's often cruel ways, couldn't agree more and they strategize murdering Bobby, with a group of willing and unwilling participants in a small Florida town. In the midst of their plotting, they find themselves contemplating with the possible aftermath of what could happen."
Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy","This is the tale of Harry Potter, an ordinary 11-year-old boy serving as a sort of slave for his aunt and uncle who learns that he is actually a wizard and has been invited to attend the Hogwarts School for Witchcraft and Wizardry. Harry is snatched away from his mundane existence by Hagrid, the grounds keeper for Hogwarts, and quickly thrown into a world completely foreign to both him and the viewer. Famous for an incident that happened at his birth, Harry makes friends easily at his new school. He soon finds, however, that the wizarding world is far more dangerous for him than he would have imagined, and he quickly learns that not all wizards are ones to be trusted."
Chocolat,2000,"Drama, Romance","When a single mother and her six-year-old daughter move to rural France and open a chocolate shop - with Sunday hours - across the street from the local church, they are met with some skepticism. But as soon as they coax the townspeople into enjoying their delicious products, they are warmly welcomed."
Under the Sand,2000,"Drama, Mystery","Marie, a professor of English literature in a Paris university, has been happily married to Jean for 25 years, although they have no children. During their summer vacations in the southwest of France, Jean leaves Marie sunbathing on the beach and goes to swim in the sea. When Marie turns back, she cannot find Jean. Has he left her? commited suicide? drowned? With no clue and no body to mourn over, Marie acts as her husband was still alive."
Ocean's Eleven,2001,"Crime, Thriller","Danny Ocean wants to score the biggest heist in history. He combines an eleven member team, including Frank Catton, Rusty Ryan and Linus Caldwell. Their target? The Bellagio, the Mirage and the MGM Grand. All casinos owned by Terry Benedict. It's not going to be easy, as they plan to get in secretly and out with $150 million."
Freddy Got Fingered,2001,Comedy,"Gordon, 28, an aspiring animator, leaves his home in Oregon to sell his ideas to Hollywood. After being told, correctly, that they are quite possibly the most stupid ideas ever and that he needs to spend time rethinking them, he moves back home. But his father, never a kind man, escalates his mean treatment of his rather unconventional son. Meanwhile, Gord has fallen for Betty, an attractive doctor at the hospital where his friend is staying; she happens to use a wheelchair, and to delight in having her paralyzed legs beaten with a bamboo cane; her sexual aggression intimidates him. Gord's family goes to a psychiatrist, and he lies to her that his father molests Gord's brother, Freddy; Gord neglects to mention that Freddy is 25. Soon, Gordon has the house to himself, and comes up with a winning animated series, ""Zebras in America"" based on his own family. All this is really a framework on which Tom Green hangs his usual crazy stunts."
Kung Pow: Enter the Fist,2002,"Action, Comedy","Kung Pow: Enter the Fist is a movie within a movie, created to spoof the martial arts genre. Writer/director Steve Oedekerk uses contemporary characters and splices them into a 1970s kung-fu film, weaving the new and old together. As the main character, The Chosen One, Oedekerk sets off to avenge the deaths of his parents at the hands of kung-fu legend Master Pain. Along the way, he encounters some strange characters, one of which is a cow trained in the martial arts."
Dr. Dolittle 2,2001,"Comedy, Family, Fantasy","Dr. John Dolittle the beloved doctor is back, but this time around he plays cupid to bumbling circus bear Archie as he's so smitten by a Pacific Western bear female, Ava. Dr. Dolittle must help a group of forest creatures to save their forest. But with the aid of his mangy, madcap animal friends, Dr. Dolittle must teach Archie the ways of true romance in time to save his species and his home before their habit is gone. So John held a meeting for every animal in the forest to not give up without a fight no matter what kind of animal expression they have and everyone agrees to do it and save their home."
Sidewalks of New York,2001,"Comedy, Romance","Six New Yorkers have an interrelated series of relationships. TV producer Tommy, who's just broken up with his girlfriend, has a short relationship with commitment-phobe Maria, who he meets in a video store, and also hooks up with married real-estate agent Annie, who he meets while apartment hunting. Annie is open to a relationship because her husband, Griffin, is cheating on her, which she slowly comes to realize through talking to her friend/co-worker who's gone through the same thing. Griffin, a 39-year-old dentist, is cheating with 19-year-old waitress Ashley, who he picked up in a park; she realizes she can do better when Ben, a hotel doorman and aspiring musician, tries to pick her up, in a belated attempt to recover from his divorce a year ago from schoolteacher Maria (the same Maria from the video store). Most of these relationships seem driven more by a desperate need to be in a relationship than actual love."
Say It Isn't So,2001,"Comedy, Romance",Young orphan Gilly (Klein) finds out his lover Jo (Graham) may actually be his biological sister. After they break up he discovers he's not related and travels across the country to stop her impending wedding. Unfortunately the entire nation has heard the same story and thinks he's just after incestuous thrills.
Saving Silverman,2001,"Comedy, Crime, Romance","Two dim-witted former high school buddys and Neil Diamond fanactics, Wayne and J.D., plot to keep their friend Darren from marrying the wrong woman, a domineering and spiteful psychologist named Judith by kidnapping her and trying to set Darren up with his old high school girlfriend Sandy who plans to become a nun."
Cats & Dogs,2001,"Action, Comedy, Family","A secret war between cats and dogs quickly peaks as Professor Brody a scientist tries to create a serum to cure dog allergies in humans. As the unsuspecting humans go through their busy lives, the cats make several attempts to possess the formula, as their canine foes try tirelessly to stop them. Caught in the crossfire, a young beagle named Lou, adopted by the Brody family, tries hard to succeed as a secret agent, and in being a friend to the young Scotty Brody. A evil snow white cat named Mr. Tinkles is planning to sabotage the efforts of Professor Brody to discover a cure for human allergies to dogs. And he'll even make every person on Earth allergic to dogs so that he can take over the world with his army of evil cats!"
Double Take,2001,"Action, Comedy, Crime","The governor of a Mexican state is assassinated. Soon after, junior executive Daryl Chase's life turns upside down: after he flags a huge transfer of funds from a Mexican account as probably illegal, he's attacked in his apartment, rescued by a CIA agent, finds his secretary shot dead, and witnesses two cops get killed. He calls the CIA guy who tells him to grab the next train to Mexico. Leaving Manhattan, Daryl can't shake a jive-talking street punk named Freddy, and soon he's traded clothes with Freddy to escape the police. Within days, his girlfriend, his boss, his client, Freddy, the FBI, and the dead governor's dog are tangled in a web of deceit and danger. Who's who?"
Queen of the Damned,2002,"Drama, Fantasy, Horror","After many years of sleeping in his coffin, the vampire Lestat awakens only to find that the world has changed and he wants to be a part of it. He gathers a following and becomes a rock star only to find that his music awakens the ancient Queen Akasha and she wants him to become her king..."
Captain Corelli's Mandolin,2001,"Drama, Music, Romance","In 1941, Italy allies with Germany and ruthlessly conquers the much weaker country of Greece. On a remote Greek island, an Italian artillery garrison is established to maintain order. One Italian officer, Captain Corelli, adopts an attitude of mutual co-existence with the Greeks and engages in such activities as music festivals and courting the daughter of a local doctor. In 1943, however, after Italy surrenders to the Allies and changes sides in the war, Captain Corelli must defend the Greek island against a German invasion."
Brotherhood of the Wolf,2001,"Action, Adventure, Drama","In 1765 something was stalking the mountains of central France. A 'beast' that pounced on humans and animals with terrible ferocity. Indeed they beast became so notorious that the King of France dispatched envoys to find out what was happening and to kill the creature. By the end, the Beast of Gevaudan had killed over 100 people, to this day, no one is entirely sure what it was, wolf? hyena? or something supernatural? Whatever it was, shepherds had the same life-expectancy as the red-suited guys in 'Star Trek'. The Beast is a popular myth in France, albeit one rooted firmly in reality; somewhat surprisingly it is little known to the outside world, and perhaps incredibly it has never been made into a movie. Until now... Based on the true story of the Beast of the Gevaudan that terrorized France in the mid-XVIIIth century, the movie aims to tell first and explain afterwards. In the first part, a special envoy of the King of France, altogether biologist, explorer and philosopher, arrives in the Gevaudan region, in the mountainous central part of France. The Beast has been attacking women and children for months and nobody has quite been able to harm it or even take a good look at it. In the second part, our hero Chevalier de Fronsac will not only have to fight the Beast, but also ignorance, bigotry and conspiracy and will rely on two women, one an aristocrat, the other a prostitute, as well as the enigmatic Mani, an Iroquois he met in New-France (Canada)."
The Tailor of Panama,2001,"Comedy, Drama, Thriller","John LeCarre's spy thriller is brought to the big screen. A British spy is banished to Panama after having an affair with an ambassador's mistress. Once there he makes connection with a local tailor with a criminal past and connections to all of the top political and gangster figures in Panama. The tailor also has a wife, who works for the canal administrator, and a huge debt. The spy's mission is to learn what the President intends to do with the Panama Canal, but he's really in business for himself, blackmailing the tailor into spinning a fantastic tale about the canal being sold to China and former mercenaries ready to topple the current government."
The Mexican,2001,"Adventure, Comedy, Crime","Jerry Welbach is given two ultimatums. His mob boss wants him to travel to Mexico to get a priceless antique pistol called ""The Mexican"" or he will suffer the consequences. The other ultimatum comes from his girlfriend Samantha, who wants him to end his association with the mob. Jerry figures that being alive, although in trouble with his girlfriend is the better alternative so he heads south of the border. Finding the pistol is easy but getting it home is a whole other matter. The pistol supposedly carries a curse - a curse Jerry is given every reason to believe, especially when Samantha is held hostage by the gay hit man Leroy to ensure the safe return of the pistol."
Long Night's Journey Into Day,2000,Documentary,"This documentary tells four stories of Apartheid in South Africa, as seen through the eyes of the Truth and Reconciliation commission. White soldiers who have killed ANC activists, black activists who have killed whites in political attacks: can there be forgiveness when the full truth comes out?"
The Original Kings of Comedy,2000,"Comedy, Documentary","February 26 and 27, 2000, the Original Kings of Comedy play Charlotte, NC. The themes are Blacks and Whites, men and women, old-school and hip-hop. Steve Harvey emcees, celebrates '70s music and lyrics of love, and pokes at folks in the front row. D.L. Hughley mines racial differences and talks about his marriage. Cedric the Entertainer riffs on a Black president and on being grown up. Bernie Mac, who says he expresses what's in the back of our minds, closes with reflections on being 42 (new aspects to his sex life and his attitude toward children). Spike Lee's camera takes us backstage and off-stage with the Kings and into the crowd where everyone's laughing."
Josie and the Pussycats,2001,"Comedy, Music","For years, the record industries have inserted subliminal messages into music so that they can turn teenagers into brain dead zombies who do nothing but buy, buy, buy. And whenever the musician or band finds out the truth, the record company silences them to keep the truth from coming out. When the hot boy band DuJour discovers this, their manager, Wyatt Frame, under his evil, corrupt boss, Fiona, has the plane they are flying in crashed and him looking for a new band to use for their evil schemes. Enter Josie, the ditsy Melody, and the tough Valerie, from Josie and the Pussycats, a small band who wants to make it to the big time. When they are discovered by Wyatt, they give in and become big rock stars. But will they find out that they are just pawns for the record industry or will fame take them over?"
The Ballad of Ramblin' Jack,2000,"Documentary, Biography, Music","With the help of her mother, family, friends, and fellow musicians, Aiyana Elliott reaches for her father, legendary cowboy troubadour, Ramblin' Jack Elliott. She explores who he is and how he got there, working back and forth between archival and contemporary footage. Born in 1932 in Brooklyn, busking through the South and West in the early 50s, a year with Woody Guthrie, six years flatpicking in Europe, a triumphant return to Greenwich Village in the early 60s, mentoring Bob Dylan, then life on the road, from gig to gig, singing and telling stories. A Grammy and the National Medal of Arts await Jack near the end of a long trail. What will Aiyana find for herself?"
The Tao of Steve,2000,"Comedy, Drama, Romance","In his early 30s, the beer-bellied Dex has things figured out. He's widely read in philosophy, he's studied Steve McQueen the prototypical cool American hero, and he's distilled Buddhism and Taoism into three laws that make him a hit with women: don't express desire, do something heroic in front of her, then retreat. A part-time job with young children, beer, guys, Frisbee golf, pool, poker, his dog Astro, and sex: what could be missing? Then, at his ten-year college reunion, Dex meets Syd, and the ""Tao of Steve"" may not be enough to get him what he wants. Plus, Syd remembers something important that Dex has forgotten. Can a cool smart guy, 50 pounds overweight, find his bliss?"
Summer Catch,2001,"Comedy, Drama, Romance","Ryan Dunne, a nice high-school kid, who works hard mowing lawns for dad Sean's firm, is caught between loyalty to Sir, who cynically believes neither of his sons will even climb the social ladder, and big brother Mike, who scolds Ryan's lack of ambition to go all the way to be recruiter for for a baseball college scholarship, which Mike had to abandon due to a wound. To complicate matters, he falls in love with a snob client's daughter."
Novocaine,2001,"Comedy, Crime, Drama","Dr. Frank Sangster is a straight-laced dentist who because of one innocent lie, finds his tidy, prosperous life transformed into a comic quagmire of illicit sex, illegal drugs and inexplicable murder in this brilliantly offbeat, bitingly comedic film!"
Divided We Fall,2000,"Comedy, Drama, War","In World War II Nazi occupied Czechoslovakia, a childless couple, Josef and Marie Cizek, can only watch while the Jewish family of their employers, the Wieners, are first removed from their own home to a spare room in their house by the Nazis, then deported to Theresienstadt concentration camp. Years later, young David Wiener, the sole surviving member of that family has managed to escape and make it to the Cizeks. Although fully aware of the extreme danger of harbouring a Jew in the Third Reich, the Cizek's can not permit themselves to leave David to certain death and agree to hide him. However, this decision leads to terrible danger of discovery by the Nazis and especially their friend and Nazi collaborator, Horst Prohazka, who is attracted to Marie. With desperate cleverness and luck, the Cizeks struggle to keep the secret, even when Horst begins to suspect. In doing so, they find themselves making unorthodox choices and learning about the true nature of the people around them."
Love & Sex,2000,"Comedy, Romance, Drama","When her rather explicit copy is rejected, magazine journalist Kate is asked by her editor to come up with an article on loving relationships instead, and to do so by the end of the day. This gets Kate thinking back over her own various experiences, and to wondering if she is in much of a position to write on the subject."
Baran,2001,"Drama, Romance","Young Lateef works on a construction site in Tehran with some Turks and a few illegal Afghan workers. When Lateef is given heavier tasks to compensate for new Afghan worker Rahmat, he resents his displacement and treats Rahmat cruelly. After one of his pranks, however, Lateef discovers Rahmat's secret--he is a girl named Baran. Latif's heart softens towards Baran and he shows his new affection for her by doing what he can to ease the hardships she suffers at work. When government inspectors force all Afghans to be fired from the site, Lateef discovers he cannot bear to be without her. Jeopardizing social standing and endangering his own well being, Lateef stops at nothing to save his love."
The Eyes of Tammy Faye,2000,"Documentary, Biography","A documentary look, mostly through the eyes of Tammy Faye Bakker Messner, at her rise and fall as a popular televangelist with husband Jim Bakker. Traces their rise: her teen marriage to Jim; their children's TV show (she was a puppeteer and singer), success founding the 700 Club, co-founding the Trinity Broadcast Network, and starting PTL Network; her nondenominational version of Christianity reaching out to all; and, their building of Heritage USA, a theme park. Things fall apart as money woes mount for Heritage and for Jim, as Tammy takes pills, and as Jerry Falwell takes PTL. Jim goes to prison; she remarries, finds herself alone again, yet remains unsinkable."
Collateral Damage,2002,"Action, Drama, Thriller","Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio ""The Wolf"" Perrini. Frustrated with the official investigation and haunted by the thought that the man responsible for murdering his family might never be brought to justice, Brewer takes matters into his own hands and tracks his quarry ultimately to Colombia."
3000 Miles to Graceland,2001,"Action, Comedy, Crime","It was an ingenious enough plan: rob the Riviera Casino's count room during an Elvis impersonator convention. But Thomas Murphy decided to keep all the money for himself and shot all his partners, including recently-freed ex-con Michael Zane. With $3.2 million at stake, the Marshals Service closing in, and single mom Cybil Waingrow and her son Jesse constantly confounding things, Michael must track down Murphy."
The Fast and the Furious,2001,"Action, Crime, Thriller","Los Angeles street racer Dominic Toretto falls under the suspicion of the LAPD as a string of high-speed electronics truck robberies rocks the area. Brian O'Connor, an officer of the LAPD, joins the ranks of Toretto's highly skilled racing crew undercover to convict Toretto. However, O'Connor finds himself both enamored with this new world and in love with Toretto's sister, Mia. As a rival racing crew gains strength, O'Connor must decide where his loyalty really lies."
