Title,Year,Genres,Plot
Rookie of the Year,1993,"Comedy, Family, Fantasy","12-year-old Henry Rowengartner, whose late father was a minor league baseball player, grew up dreaming of playing baseball, despite his physical shortcomings. Although he's close to his mother Mary, Henry hates Mary's latest boyfriend, Jack Bradfield. After Henry's arm is broken while trying to catch a baseball at school, the tendon in that arm heals too tightly, allowing Henry to throw pitches that are as fast as 103 mph. Henry is spotted at nearby Wrigley Field by Larry ""Fish"" Fisher, the general manager of the struggling Chicago Cubs, after Henry throws an opponent's home-run ball all the way from the outfield bleachers back to the catcher, and it seems that Henry may be the pitcher that team owner Bob Carson has been praying for. At first, Cubs manager Sal Martinella doesn't like Henry being on the team, but despite the rawness of his talent, Henry revives everyone's team spirit and reignites the enthusiasm of the fans. While money hungry Jack pulls strings behind the scenes to line his own pockets, Mary starts to fall for veteran pitcher Chet ""Rocket"" Steadman, whose injuries are curtailing a once sparkling career. While Henry bonds with Chet, Henry's friends resent Henry's star status when he arrives late to help them work on an old boat. As the Cubs head for the National League Championship series, Jack agrees to hand over Henry's contract to the New York Yankees for 25 million dollars. Mary doesn't like that, so when Jack angers Mary even more by stupidly saying that Henry is half his, Mary literally punches Jack out the door, with Henry cheering her on. Thinking about the idea of retiring, both Henry and Chet start performing badly, but they set out to redeem themselves at the National League championship series."
"Faraway, So Close!",1993,"Drama, Fantasy, Romance",A group of angels in the German capital look longingly upon the life of humans.
The Good Son,1993,"Drama, Horror, Thriller","Following his mother's death, Mark is sent to Maine to visit his aunt and uncle while his father goes on a business trip to Tokyo. Mark meets his cousin, Henry, and the two quickly form a friendship. However, Henry begins to show signs of violent behavior that worry Mark."
Gettysburg,1993,"Drama, History, War",The four and 1/4 hour depiction of the historical and personal events surrounding and including the decisive American civil war battle features thousands of civil war re-enactors marching over the exact ground that the federal army and the army of North Virginia fought on. The defense of the Little Round Top and Pickett's Charge are highlighted in the actual three day battle which is surrounded by the speeches of the commanding officers and the personal reflections of the fighting men. Based upon the novel 'The Killer Angels'.
Dragon: The Bruce Lee Story,1993,"Action, Biography, Drama","Based on the life and career of Martial Arts superstar, Bruce Lee. Haunted by demons. Bruce was taught Martial arts at childhood. Bruce then was told by his father to flee to the United States. There, he opened up a Martial Arts school, then was chosen to be the Green Hornet's sidekick, Kato. Then, his big movie career that included ""The Big Boss"" and ""Enter the Dragon"". Fighting many enemies along the way, including his childhood demon."
The Crush,1993,"Drama, Thriller","Nick Eliot, a 28 year old newspaper reporter moves in the guest house of the Forresters'. Everything goes fine until he meets Adrienne, the Forresters' only child, a 14 year old girl. She develops a crush on him. When he ignores her advances, she's rebuffed and willing to kill him."
"Blood In, Blood Out",1993,"Crime, Drama","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo."
Best of the Best II,1993,"Action, Crime, Drama","In an underground fight club, blackbelt Travis Brickley is killed after losing to the evil martial arts master Brakus. Travis' death is witnessed by Walter Grady, the son of his best friend Alex Grady. Alex and his partner, Tommy Lee, vow to avenge their friend's death by defeating Brakus and shutting down the fight club."
The Adventures of Huck Finn,1993,"Adventure, Comedy, Drama","Huckleberry Finn is a young boy in the 1840s, who runs away from home, and floats down the Mississippi River. He meets a run away slave named Jim and the two undertake a series of adventures based on the Picaresque novel by Mark Twain. As the story progresses the duo exploit an array of episodic enterprises, while Huckleberry slowly changes his views of bigotry. Along the way, Huck and Jim meet the King and Duke, who ultimately send the protagonists towards a different route on their journey. As Huck begins to have a change of heart, he gradually begins to distinguish between right and wrong, and conclusively, Huck is faced with the moral dilemma between the world's prejudice, of which he's grown up with, and the lessons Jim has taught him throughout the story about the evils of racism."
White Sands,1992,"Action, Crime, Drama","A small southwestern town sheriff finds a body in the desert with a suitcase and $500,000. He impersonates the man and stumbles into an FBI investigation."
The Waterdance,1992,"Drama, Romance","A film about struggling to deal with paralysis. Author Joel Garcia breaks his neck while hiking, and finds himself in a rehabilitation centre with Raymond, an exaggerating ladies' man, and Bloss, a racist biker. Considerable tension builds as each character tries to deal with his new found handicap and the problems that go with it, especially Joel, whose lover Anna is having as difficult a time as he is. As Raymond reveals a dream about dancing on the surface of a lake to stay afloat, it becomes apparent that each of them must find his own Waterdance to survive his tragedy."
Unlawful Entry,1992,"Crime, Drama, Thriller","After a break-in at their house, a couple gets help from one of the cops that answered their call. He helps them install the security system, and begins dropping by on short notice and unofficial patrol, and spends a lot of time discussing the couple's problems with the wife. The husband begins wondering if they're getting too much help."
Shadows and Fog,1991,Comedy,"A small and insignificant bookkeeper, Kleinman, is awoken one night by his neighbors who wants his help to track down a strangler who has been killing people all over town. The citizens form vigilance committees, but when Kleinman has dressed, his neighbors have disappeared. Meanwhile a circus has come to town. Irmy and Paul are two of the artists. After a fight, Irmy leaves the circus in the middle of the night. Eventually she meets Kleinman, scared and alone."
Prelude to a Kiss,1992,"Comedy, Fantasy, Romance","A couple fall in love despite the girl's pessimistic outlook. As they struggle to come to terms with their relationship, something supernatural happens that tests it."
Hellraiser III: Hell on Earth,1992,Horror,"Pinhead is stuck in a block after the Big Confrontation in ""Hellbound,"" The block containing Pinhead and the puzzle cube is bought by a young playboy as sculpture. Pinhead busies himself escaping by getting the playboy to lure victims to his presence so he can use their blood. Once free, he seeks to destroy the puzzle cube so he need never return to Hell, but a female reporter is investigating the grisly murders and stands in his way."
Freejack,1992,"Action, Crime, Sci-Fi","Auto racer Alex Furlong is snatched by time travel, a split second before a fatal explosion, by Vasendak's 21st-century team of techies, who plan to sell his healthy body to an ailing rich man at McCandless Corporation, for a mind transfer. He escapes, but has no rights in this nightmare future of violence and sleaze. The story concerns his survival, and his attempt to revive his relationship with his fiancée Julie, now 15 years older and an executive at McCandless."
What About Bob?,1991,Comedy,"Doctor Leo Marvin, an egotistical psychotherapist in New York City, is looking forward to his forthcoming appearance on a ""Good Morning America"" telecast, during which he plans to brag about ""Baby Steps,"" his new book about emotional disorder theories in which he details his philosophy of treating patients and their phobias. Meanwhile, Bob Wiley is a recluse who is so afraid to leave his own apartment that he has to talk himself out the door. When Bob is pawned off on Leo by a psychotherapist colleague, Bob becomes attached to Leo. Leo finds Bob extremely annoying. When Leo accompanies his wife Fay, his daughter Anna, and his son Siggy to a peaceful New Hampshire lakeside cottage for a month-long vacation, Leo thinks he's been freed from Bob. Leo expects to mesmerize his family with his prowess as a brilliant husband and remarkable father who knows all there is to know about instructing his wife and raising his kids. But Bob isn't going to let Leo enjoy a quiet summer by the lake. By cleverly tricking the telephone operator at the doctor's exchange, Bob discovers the whereabouts of Leo and his family. Despite his phobia about traveling alone, Bob somehow manages to talk himself onto a bus, and he arrives in New Hampshire. Leo's vacation comes to a screeching halt the moment he sees Bob. With his witty personality, his ability to manipulate people, and his good sense of humor, Bob quickly becomes an annoyance to Leo, but not to Fay, Anna, and Siggy, because they think Bob is fun while Leo is dull. Fearing that he's losing his family to Bob, Leo frantically tries to find a way to make Bob go back to New York, and it's not as easy as Leo had hoped. Leo finds himself stepping outside the law to try to get Bob to stay away from Fay, Anna, and Siggy--Leo slowly goes berserk, and makes plans to kill Bob."
Truly Madly Deeply,1990,"Comedy, Drama, Fantasy","Once upon a time there were two people in love, their names were Nina and Jamie. They were even happy enough to be able to live happily ever after, (not often the case) and then Jamie died. Nina is left with a house full of rats and handymen, a job teaching foreigners English and an ache that fills the night sky."
Point Break,1991,"Action, Crime, Thriller","In the coastal town of Los Angeles, a gang of bank robbers call themselves the ex-presidents. commit their crimes while wearing masks of ex-presidents Reagan, Carter, Nixon and Johnson. The F.B.I. believes that the members of the gang could be surfers and send young agent Johnny Utah undercover at the beach to mix with the surfers and gather information. Utah meets surfer Bodhi and gets drawn into the lifestyle of his new friend."
Not Without My Daughter,1991,"Drama, Thriller","""Moody"" is an Iranian doctor living in America with his American wife Betty and their child Mahtob. Wanting to see his homeland again, he convinces his wife to take a short holiday there with him and Mahtob. Betty is reluctant, as Iran is not a pleasant place, especially if you are American and female. Upon arrival in Iran, it appears that her worst fears are realized: Moody declares that they will be living there from now on. Betty is determined to escape from Iran, but taking her daughter with her presents a larger problem."
Necessary Roughness,1991,"Comedy, Sport","Due to NCAA sanctions, the Texas State University Fightin' Armadillos must form a football team from their actual student body, with no scholarships to help, to play their football schedule. With fewer players than most teams, the makeshift team must overcome obstacles that the best teams in the country couldn't deal with. Using a 34 year old quarterback, a female placekicker and a gang of misfits, Ed ""Straight Arrow"" Genero must take his team to play the number one Texas Colts."
The Naked Gun 2½: The Smell of Fear,1991,"Comedy, Crime","Lt. Frank Drebbin returns to save the day once again. This time he's out to foil the ""big boys"" in the energy business. A top scientist (Dr Mainheimer) is about to publish his report on energy supply for the future. Things don't look good for the traditional suppliers; oil, coal and nuclear. To save their industries, the suppliers kidnap Mainheimer and replace him with a decoy with a more favourable report. Jane, the Dr's secretary, is Drebbin's old flame; they're passionate love affair is thus rekindled."
The Man in the Moon,1991,"Drama, Romance","Rural Louisiana, summer of 1957, Elvis is King. At 14, Dani is coming of age. Her older sister is beautiful, smart, and off to Duke in the fall; her mom's pregnant with number four (Dad wants a son), and Dad's pretty strict. Life gets sweeter when 17-year-old Court Foster, his widowed mom, and two little brothers move into the vacant farm next door. Court likes Dani's high spirits and direct way, and though he has a man's responsibilities on the farm, they go off swimming sometimes. The waters of adolescence are deeper than Dani realizes as hers and Court's feelings get jumbled. Then Mother Nature throws wrenching surprises at Dani, and she must come to terms with new emotions."
Love Potion No. 9,1992,"Comedy, Fantasy, Romance",Two scientists who are hopeless with the opposite sex experiment with a substance that makes them irresistible to anyone who hears them speak.
Little Man Tate,1991,Drama,"Dede is a sole parent trying to bring up her son Fred. When it is discovered that Fred is a genius, she is determined to ensure that Fred has all the opportunities that he needs, and that he is not taken advantage of by people who forget that his extremely powerful intellect is harboured in the body and emotions of a child."
House Party 2,1991,"Comedy, Drama, Music","When Kid's college money is stolen by a crooked music promoter, Play's solution is to stage the 'mutha' of all pajama parties. Starring Kid 'n Play and Martin Lawrence."
Harley Davidson and the Marlboro Man,1991,"Action, Crime, Drama","The tough biker Harley and his no less tough cowboy friend Marlboro learn that an old friend of theirs will lose his bar, because a bank wants to build a new complex there and demands 2.5 million dollars for a new contract in advance. Harley and Marlboro decide to help him by robbing the corrupt bank. They rob the Bank transport and get hold of an amount of a new synthetic drug. Now they are targeted by criminal bankers."
City Slickers,1991,Comedy,"Mitch is a middle aged big-city radio ads salesman. He and his friends Ed and Phil are having mid-life crisis. They decide the best birthday gift is to go on a two week holiday in the wild west driving cattle from New Mexico to Colorado. There they meet cowboy Curly who not only teaches them how to become real cowboys, but also one or two other things about life in the open air of the west."
The Unbelievable Truth,1989,"Comedy, Drama, Romance","After serving time for murder, Josh Hutton returns to his home town where me meets Audry Hugo. No one can remember exactly what Josh did, but they are all wary of him, especially Audry's father."
Sorority House Massacre II,1990,"Comedy, Horror, Thriller","Five college women buy the old Hokstedter place for their new sorority house. They got it cheap because of the bloody incidents from five years before. They decide to stay in it for the night so they can meet the movers in the morning, but begin to get the creeps when the weird neighbor Orville Ketchum starts poking around. Shortly after the women take showers and consult a Ouija board they begin experiencing an attrition problem."
Slumber Party Massacre III,1990,"Comedy, Horror","After a hard day of volleyball at the beach, a teen whose parents are away decides to have a slumber party with her girlfriends. Their boyfriends predictably show up to scare them, but a stranger from the beach is also seen lurking around the house. Soon the group begins experiencing an attrition problem."
The Russia House,1990,"Drama, Romance, Thriller","Three notebooks supposedly containing Russian military secrets are handed to a British publisher during a Russian book conference. The British secret service are naturally keen to learn if these notebooks are the genuine article. To this end, they enlist the help of the scruffy British publisher Barley Blair, who has plenty of experience with Russia and Russians. Barley, an unconventional character who doesn't respond well to authority, finds himself in a game more complex than he first thought when he digs into the origin of the notebooks."
Reversal of Fortune,1990,"Biography, Drama, Mystery","Alan Dershowitz a brilliant professor of law is hired by wealthy socialite Claus von Bulow to attempt to overturn his two convictions for attempted murder of his extremely wealthy wife. Based on a true story the film concentrates not on the trial like other legal thrillers, but on the preparatory work that Dershowitz and his students put in as they attempt to disprove the prosecution's case and achieve the Reversal of Fortune of the title."
Postcards from the Edge,1990,"Comedy, Drama","Substance-addicted Hollywood actress Suzanne Vale is on the skids. After a spell at a detox center her film company insists, as a condition of continuing to employ her, that she live with her mother Doris Mann, herself once a star and now a champion drinker. Such a set-up is bad news for Suzanne who has struggled for years to get out of her mother's shadow, and who finds her mother still treats her like a child. Despite these problems - and further ones involving the men in in her life - Suzanne can begin to see the funny side of her situation, and it also starts to occur to her that not only do daughters have mothers, mothers do too."
Mermaids,1990,"Comedy, Drama, Romance","After yet another failed relationship, Mrs. Flax (Cher) ups her family to the east coast to start all over again. Reluctantly dragged along with her is her daughter Charlotte - going through a very confusing time of her life - who wants to become a nun, and instead falls in love with a quiet, mild-mannered church employee, to the mixed response of her mother. Set at around the time of the Kennedy Assassination."
Lord of the Flies,1990,"Adventure, Drama, Thriller","After a plane crash in the ocean, a group of military students reach an island. Ralph organizes the boys, assigning responsibilities for each one. When the rebel Jack Merridew neglects the fire camp and they lose the chance to be seen by a helicopter, the group split under the leadership of Jack. While Ralph rationalizes the procedures, Jack returns to the primitivism, using the fear for the unknown (in a metaphor to the religion) to control the other boys, and hunting and chasing pigs, stealing the possession of Ralph's group and even killing people."
Longtime Companion,1989,"Drama, Romance","Perhaps the first film to put a human face on the AIDS epidemic, Longtime Companion follows the lives of a small circle of friends from the first mention of the disease in the New York Times in 1981. First referred to as ""Gay-Related-Immune-Disorder,"" we watch the effect of the disease as it devastates the lives of our protagonists. Jumping between Manhattan and Fire Island, vignettes carry us from the it-couldn't-happen-to-me mentality of the early days of the disease to the invasive effect it has had on all of our lives, today. The title of the film comes from the New York Times' refusal to acknowledge homosexual relationships in their obituary section during this period. Instead, survivors were referred to as ""Longtime Companions"" of the deceased."
